Baufertigstellungen seit 2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
93;  Oberpfalz;2237;1819;202;216;4837;1097;1556;2184;2559;2063;254;242;5040;996;1652;2392;2502;1989;276;237;5195;1016;1817;2362;2339;1847;211;281;5357;1156;2044;2157;2888;2316;269;303;6207;1349;2200;2658;2552;2010;293;249;5605;1340;1962;2303;2518;1836;341;341;6187;1794;2242;2151;3365;2435;589;341;7663;2221;2518;2924
94;  Oberfranken;870;735;63;72;2124;632;582;910;1357;1176;83;98;2952;816;703;1433;1242;1041;126;75;2651;544;841;1266;1540;1294;117;129;3292;752;1038;1502;1681;1426;119;136;3545;800;1114;1631;1269;1048;114;107;2901;765;940;1196;1486;1254;120;112;2998;648;941;1409;1638;1334;154;150;3672;910;1166;1596
95;  Mittelfranken;2648;2200;168;280;6477;1658;2333;2486;2858;2304;168;386;8295;2720;2746;2829;2725;2215;193;317;7112;2240;2321;2551;2833;2294;200;339;6936;1707;2571;2658;2784;2217;189;378;7681;2249;2837;2595;2461;1934;183;344;6869;1992;2807;2070;2868;2212;298;358;7697;2046;3132;2519;2420;1754;317;349;7592;2529;2938;2125
96;  Unterfranken;1784;1420;183;181;3939;851;1164;1924;2180;1769;230;181;4932;1318;1308;2306;1814;1438;190;186;4291;1022;1412;1857;1858;1507;191;160;4150;952;1269;1929;2209;1784;216;209;4669;916;1454;2299;2106;1671;230;205;4526;704;1712;2110;2164;1684;271;209;4658;1012;1478;2168;2036;1537;291;208;4850;1158;1674;2018
97;  Schwaben;3612;2811;345;456;9152;2264;3242;3646;3922;3072;417;433;8894;2157;3090;3647;4138;3217;458;463;9436;2104;3615;3717;3911;3086;379;446;8902;2038;3315;3549;3976;3061;428;487;9556;2359;3577;3620;3609;2675;427;507;9546;2666;3665;3215;3773;2697;550;526;10172;2977;3840;3355;3248;2302;509;437;8262;2074;3362;2826
9161;    Ingolstadt (Krfr.St);358;233;17;108;1477;669;476;332;271;178;19;74;1050;411;430;209;365;260;21;84;1373;694;398;281;280;184;24;72;1020;515;284;221;267;153;21;93;1127;441;467;219;217;137;19;61;814;323;333;158;220;134;15;71;931;458;323;150;208;144;14;50;709;240;326;143
9162;    München, Landeshauptstadt;1139;562;47;530;7381;2926;3457;998;1604;943;75;586;8340;3237;3879;1224;1483;818;59;606;9351;4035;4027;1289;961;494;40;427;7526;3336;3243;947;1115;580;56;479;8304;4031;3578;695;1064;592;42;430;7509;4099;2683;727;853;407;32;414;7528;3907;2999;622;1249;658;57;534;9857;4850;4154;853
9163;    Rosenheim (Krfr.St);48;32;8;8;127;26;45;56;83;44;13;26;312;90;141;81;52;29;5;18;212;57;114;41;5;4;–;1;14;1;7;6;130;92;15;23;347;97;144;106;65;42;7;16;180;35;90;55;50;32;6;12;130;26;57;47;56;40;8;8;148;24;61;63
9171;    Altötting (Lkr);257;204;19;34;592;161;173;258;231;172;29;30;480;79;170;231;261;207;22;32;501;54;193;254;258;208;23;27;459;67;143;249;359;277;32;50;690;91;292;307;329;264;28;37;672;103;243;326;268;192;31;45;708;149;270;289;215;156;25;34;519;114;188;217
9172;    Berchtesgadener Land (Lkr);86;50;12;24;339;128;124;87;133;93;14;26;396;91;155;150;127;72;19;36;462;53;255;154;128;93;10;25;397;65;187;145;115;72;12;31;357;76;174;107;125;92;6;27;435;83;246;106;125;83;9;33;545;201;226;118;82;52;11;19;274;60;126;88
9173;    Bad Tölz-Wolfratshausen (Lkr);226;162;21;43;670;210;223;237;176;119;30;27;443;98;156;189;239;149;45;45;704;174;278;252;234;159;30;45;821;141;420;260;230;150;34;46;600;118;207;275;194;134;36;24;499;86;173;240;215;135;41;39;564;117;231;216;245;168;38;39;775;148;358;269
9174;    Dachau (Lkr);355;306;33;16;509;30;129;350;490;413;32;45;1160;375;325;460;326;252;45;29;623;69;244;310;493;401;40;52;1006;216;328;462;334;263;27;44;850;220;323;307;257;191;24;42;637;158;258;221;263;194;26;43;590;118;241;231;224;155;32;37;564;165;219;180
9175;    Ebersberg (Lkr);185;143;19;23;349;31;147;171;289;227;28;34;579;115;196;268;252;184;23;45;703;195;251;257;278;220;21;37;749;123;334;292;234;171;24;39;584;142;227;215;278;199;25;54;748;123;345;280;205;145;25;35;479;109;192;178;158;106;16;36;479;141;178;160
9176;    Eichstätt (Lkr);532;451;47;34;822;92;233;497;555;460;56;39;925;154;251;520;455;393;40;22;637;48;174;415;494;385;64;45;925;182;315;428;518;431;47;40;857;92;295;470;337;261;47;29;725;212;194;319;412;318;56;38;737;120;229;388;471;349;85;37;836;166;246;424
9177;    Erding (Lkr);284;206;45;33;608;143;191;274;523;390;67;66;1141;289;375;477;250;198;22;30;513;69;198;246;419;300;56;63;968;239;322;407;285;201;40;44;687;195;232;260;405;300;62;43;945;264;296;385;344;252;52;40;717;160;213;344;312;203;64;45;809;185;331;293
9178;    Freising (Lkr);385;273;46;66;1002;185;444;373;414;307;51;56;1023;332;323;368;291;191;47;53;818;213;315;290;428;274;58;96;1237;317;530;390;363;259;43;61;890;202;337;351;390;249;52;89;1211;413;454;344;389;294;47;48;915;306;268;341;345;249;52;44;848;205;347;296
9179;    Fürstenfeldbruck (Lkr);467;388;28;51;1041;269;381;391;312;244;28;40;803;290;244;269;340;264;31;45;693;172;209;312;379;306;29;44;867;176;356;335;357;266;36;55;871;194;338;339;323;240;33;50;746;169;299;278;335;235;35;65;945;254;445;246;333;247;36;50;841;218;335;288
9180;    Garmisch-Partenkirchen (Lkr);74;43;17;14;188;32;80;76;99;56;27;16;198;33;74;91;61;33;11;17;191;47;89;55;73;47;11;15;197;37;92;68;66;44;8;14;153;26;59;68;112;79;22;11;224;45;72;107;87;48;16;23;255;51;127;77;120;61;20;39;426;121;173;132
9181;    Landsberg am Lech (Lkr);280;230;25;25;491;52;168;271;260;204;34;22;486;78;139;269;311;253;38;20;705;208;200;297;286;240;26;20;476;95;103;278;332;243;54;35;672;116;236;320;280;209;36;35;675;170;214;291;310;234;46;30;638;121;217;300;294;224;42;28;601;139;195;267
9182;    Miesbach (Lkr);184;128;25;31;436;84;174;178;178;134;20;24;387;64;131;192;303;243;25;35;596;75;203;318;156;108;23;25;396;60;166;170;169;122;19;28;434;83;184;167;157;106;21;30;447;126;176;145;169;129;13;27;474;128;170;176;110;75;15;20;332;98;126;108
9183;    Mühldorf a.Inn (Lkr);345;264;48;33;787;163;310;314;358;289;33;36;757;168;251;338;279;213;32;34;752;141;336;275;337;252;40;45;894;206;403;285;349;262;38;49;996;253;451;292;273;203;35;35;704;177;274;253;324;233;51;40;750;110;275;365;316;217;52;47;841;195;341;305
9184;    München (Lkr);497;389;27;81;1246;213;546;487;629;527;49;53;1137;168;352;617;476;360;31;85;1172;258;498;416;539;420;27;92;1755;686;518;551;569;437;34;98;1525;396;586;543;515;398;30;87;1590;496;609;485;590;432;50;108;1855;578;773;504;562;414;43;105;1902;781;634;487
9185;    Neuburg-Schrobenhausen (Lkr);314;253;36;25;575;117;186;272;303;245;34;24;571;97;193;281;282;219;33;30;554;127;178;249;361;304;29;28;669;105;247;317;330;270;31;29;612;76;219;317;286;225;21;40;665;166;263;236;276;197;53;26;546;105;216;225;316;225;60;31;654;129;224;301
9186;    Pfaffenhofen a.d.Ilm (Lkr);312;241;32;39;619;135;170;314;259;177;24;58;626;127;262;237;399;292;50;57;860;189;283;388;505;386;47;72;1254;392;412;450;482;349;61;72;1153;290;392;471;387;299;39;49;713;118;248;347;369;268;47;54;917;276;267;374;454;310;87;57;965;216;331;418
9187;    Rosenheim (Lkr);350;269;39;42;756;103;313;340;626;482;64;80;1442;249;574;619;740;506;110;124;1942;371;816;755;569;416;71;82;1401;308;522;571;249;166;42;41;716;165;262;289;788;589;99;100;1939;447;739;753;634;433;101;100;1569;334;574;661;621;385;112;124;1872;449;785;638
9188;    Starnberg (Lkr);201;151;20;30;465;101;167;197;260;195;41;24;456;43;144;269;290;228;23;39;686;148;264;274;301;237;35;29;522;54;204;264;310;234;39;37;584;113;208;263;248;184;26;38;619;160;231;228;256;189;29;38;602;126;224;252;264;189;31;44;632;138;209;285
9189;    Traunstein (Lkr);310;238;31;41;721;138;298;285;288;208;41;39;674;103;244;327;487;340;78;69;1366;337;523;506;243;190;25;28;649;169;252;228;367;264;47;56;966;199;416;351;357;234;63;60;1240;430;438;372;289;197;53;39;747;127;338;282;257;185;38;34;665;126;270;269
9190;    Weilheim-Schongau (Lkr);241;195;26;20;506;96;165;245;306;231;36;39;701;132;261;308;317;229;45;43;764;183;284;297;299;220;53;26;638;190;174;274;419;329;52;38;834;152;297;385;287;208;46;33;681;167;212;302;319;230;62;27;729;159;245;325;362;252;65;45;772;152;330;290
9261;    Landshut (Krfr.St);137;100;17;20;486;215;132;139;120;76;9;35;555;236;218;101;111;80;8;23;516;240;168;108;122;89;8;25;363;120;156;87;107;58;9;40;525;96;303;126;68;36;12;20;359;112;184;63;44;17;6;21;195;37;125;33;86;53;11;22;254;63;115;76
9262;    Passau (Krfr.St);120;77;10;33;469;173;199;97;93;46;11;36;422;79;181;162;66;40;5;21;304;97;153;54;66;44;6;16;231;95;77;59;84;45;7;32;369;122;193;54;67;45;10;12;183;63;57;63;61;38;11;12;344;213;61;70;43;21;9;13;222;111;84;27
9263;    Straubing (Krfr.St);110;94;–;16;269;50;148;71;77;56;4;17;217;68;107;42;77;57;6;14;289;151;107;31;82;55;2;25;300;134;126;40;118;94;3;21;300;111;124;65;68;46;3;19;413;228;139;46;79;51;4;24;565;383;145;37;68;37;7;24;350;139;181;30
9271;    Deggendorf (Lkr);399;327;39;33;845;274;183;388;369;299;41;29;611;58;191;362;316;250;34;32;675;96;233;346;381;312;32;37;781;112;308;361;406;324;38;44;790;133;261;396;366;282;40;44;1157;530;284;343;342;263;46;33;854;288;228;338;345;256;54;35;822;223;252;347
9272;    Freyung-Grafenau (Lkr);108;98;8;2;156;10;26;120;163;136;24;3;288;58;59;171;158;137;18;3;281;25;83;173;187;158;17;12;428;143;110;175;249;214;25;10;394;51;108;235;161;127;20;14;344;64;121;159;136;107;18;11;290;18;116;156;79;59;13;7;148;32;40;76
9273;    Kelheim (Lkr);300;245;16;39;825;235;280;310;467;362;67;38;896;138;306;452;434;357;47;30;822;165;255;402;315;251;30;34;695;143;286;266;430;341;54;35;827;151;271;405;305;237;39;29;692;120;297;275;378;277;57;44;892;213;353;326;380;265;78;37;1062;448;294;320
9274;    Landshut (Lkr);399;370;18;11;483;34;86;363;541;507;21;13;649;30;120;499;444;409;25;10;583;68;93;422;509;455;34;20;704;61;182;461;469;415;35;19;674;53;179;442;460;405;36;19;604;47;142;415;367;305;52;10;489;43;117;329;455;348;66;41;814;125;280;409
9275;    Passau (Lkr);304;265;26;13;474;53;131;290;693;578;70;45;1189;142;354;693;428;377;34;17;621;53;176;392;325;268;37;20;557;103;141;313;525;437;48;40;902;102;287;513;665;535;78;52;1267;220;425;622;692;564;66;62;1462;276;548;638;804;643;79;82;1710;309;661;740
9276;    Regen (Lkr);121;110;11;–;155;11;27;117;136;108;19;9;312;47;126;139;134;103;21;10;243;46;53;144;140;116;18;6;219;25;63;131;196;161;24;11;387;82;122;183;175;149;16;10;322;39;104;179;175;140;21;14;367;63;138;166;182;126;39;17;411;74;149;188
9277;    Rottal-Inn (Lkr);283;250;18;15;481;79;132;270;316;273;23;20;617;139;194;284;312;268;25;19;571;143;147;281;334;274;40;20;556;96;138;322;426;365;34;27;800;180;197;423;341;280;39;22;638;92;254;292;348;280;38;30;742;202;242;298;325;255;30;40;705;121;270;314
9278;    Straubing-Bogen (Lkr);416;375;22;19;613;87;156;370;367;321;29;17;552;68;167;317;401;342;45;14;599;85;146;368;527;460;41;26;789;87;231;471;506;427;42;37;862;118;322;422;390;309;52;29;652;97;191;364;463;337;87;39;784;112;273;399;342;235;75;32;630;112;233;285
9279;    Dingolfing-Landau (Lkr);305;256;23;26;501;56;183;262;301;248;30;23;548;137;142;269;324;286;30;8;471;73;106;292;380;324;30;26;679;122;206;351;446;381;43;22;716;103;218;395;71;49;10;12;161;27;91;43;65;52;5;8;298;169;80;49;69;48;12;9;282;112;110;60
9361;    Amberg (Krfr.St);55;43;6;6;156;57;53;46;36;25;2;9;107;29;40;38;22;18;–;4;48;-6;32;22;54;43;2;9;247;107;95;45;71;56;7;8;129;11;56;62;38;28;3;7;119;48;50;21;54;48;2;4;204;86;52;66;37;28;5;4;88;21;27;40
9362;    Regensburg (Krfr.St);242;162;7;73;1273;565;475;233;328;240;9;79;1194;424;500;270;252;167;9;76;1138;411;506;221;218;129;5;84;1003;302;512;189;271;142;8;121;1651;663;786;202;151;94;7;50;1008;540;324;144;212;90;12;110;1443;770;563;110;115;66;11;38;1163;829;254;80
9363;    Weiden i.d.OPf. (Krfr.St);31;20;3;8;108;37;39;32;23;19;–;4;55;7;28;20;37;24;2;11;179;81;74;24;30;23;2;5;103;29;38;36;55;42;2;11;159;42;65;52;34;25;2;7;90;19;46;25;24;17;2;5;79;17;38;24;24;10;4;10;139;71;43;25
9371;    Amberg-Sulzbach (Lkr);84;75;7;2;150;37;30;83;163;139;18;6;239;25;63;151;205;166;28;11;336;25;111;200;134;110;11;13;236;31;95;110;217;194;20;3;292;34;47;211;209;187;15;7;318;56;80;182;261;213;40;8;385;31;124;230;254;195;40;19;440;69;132;239
9372;    Cham (Lkr);319;262;38;19;582;62;164;356;256;212;32;12;453;58;138;257;342;268;44;30;768;189;215;364;309;261;21;27;616;115;198;303;377;304;44;29;684;100;213;371;422;320;66;36;818;124;268;426;383;275;65;43;829;219;253;357;471;326;103;42;1045;282;298;465
9373;    Neumarkt i.d.OPf. (Lkr);444;364;43;37;857;146;335;376;372;285;38;49;814;192;290;332;409;324;45;40;864;170;320;374;488;404;38;46;1000;215;362;423;376;313;40;23;669;98;243;328;604;488;75;41;1187;259;431;497;277;183;52;42;682;174;299;209;620;430;122;68;1388;353;568;467
9374;    Neustadt a.d.Waldnaab (Lkr);144;126;14;4;201;3;35;163;176;158;14;4;266;11;69;186;192;163;22;7;292;34;74;184;214;172;31;11;412;57;115;240;290;259;21;10;453;50;98;305;208;178;21;9;351;43;113;195;218;180;24;14;391;62;119;210;235;190;28;17;412;53;127;232
9375;    Regensburg (Lkr);550;463;50;37;859;101;231;527;563;452;68;43;955;149;271;535;632;516;81;35;1013;111;308;594;595;474;75;46;1110;184;395;531;750;621;74;55;1336;225;417;694;648;504;75;69;1293;191;498;604;657;495;91;71;1330;232;502;596;701;483;155;63;1439;315;510;614
9376;    Schwandorf (Lkr);281;226;26;29;497;74;169;254;560;467;60;33;820;80;236;504;340;280;41;19;443;-10;147;306;216;159;17;40;456;64;204;188;372;285;47;40;688;113;242;333;148;106;20;22;300;48;133;119;330;244;48;38;652;149;252;251;633;473;88;72;1134;164;455;515
9377;    Tirschenreuth (Lkr);87;78;8;1;154;15;25;114;82;66;13;3;137;21;17;99;71;63;4;4;114;11;30;73;81;72;9;–;174;52;30;92;109;100;6;3;146;13;33;100;90;80;9;1;121;12;19;90;102;91;5;6;192;54;40;98;275;234;33;8;415;64;104;247
9461;    Bamberg (Krfr.St);43;23;4;16;290;103;146;41;83;75;–;8;280;146;43;91;42;31;2;9;374;122;228;24;42;18;5;19;322;182;92;48;73;51;9;13;205;-3;137;71;69;34;7;28;435;146;226;63;100;76;8;16;357;92;161;104;46;17;4;25;327;98;186;43
9462;    Bayreuth (Krfr.St);39;25;5;9;158;74;49;35;43;25;2;16;467;302;111;54;64;40;6;18;234;76;99;59;37;22;5;10;101;16;55;30;70;43;2;25;326;129;130;67;45;22;5;18;278;119;88;71;47;22;6;19;235;75;121;39;40;16;2;22;370;183;159;28
9463;    Coburg (Krfr.St);20;9;3;8;99;21;51;27;35;26;–;9;131;23;44;64;27;22;2;3;81;28;36;17;34;22;2;10;127;42;65;20;42;26;2;14;354;203;116;35;34;22;1;11;228;85;112;31;37;20;4;13;206;50;128;28;28;20;3;5;86;22;39;25
9464;    Hof (Krfr.St);16;9;1;6;270;243;6;21;17;15;–;2;132;117;-2;17;16;13;1;2;123;86;17;20;6;5;–;1;14;-17;26;5;18;15;–;3;43;12;12;19;18;13;3;2;36;7;12;17;21;19;1;1;35;10;-1;26;31;26;5;–;44;4;11;29
9471;    Bamberg (Lkr);142;121;9;12;227;12;67;148;321;274;30;17;503;37;126;340;207;179;23;5;296;13;54;229;358;301;35;22;574;43;143;388;311;249;39;23;525;41;143;341;63;51;11;1;94;8;20;66;196;163;15;18;320;41;74;205;548;451;52;45;982;116;277;589
9472;    Bayreuth (Lkr);8;8;–;–;9;-1;1;9;181;169;10;2;222;10;34;178;193;169;19;5;270;36;45;189;264;236;18;10;396;47;113;236;209;187;15;7;351;88;72;191;119;111;5;3;225;90;35;100;193;168;17;8;299;40;66;193;186;175;7;4;262;60;39;163
9473;    Coburg (Lkr);138;131;5;2;201;32;43;126;143;131;7;5;219;13;81;125;129;112;9;8;222;40;69;113;167;157;5;5;291;61;91;139;174;166;3;5;289;52;95;142;134;125;5;4;205;22;74;109;162;149;8;5;247;32;59;156;122;103;13;6;259;81;76;102
9474;    Forchheim (Lkr);196;168;22;6;351;45;90;216;197;166;11;20;408;91;108;209;217;169;34;14;408;64;123;221;240;188;23;29;658;157;271;230;241;200;23;18;423;55;135;233;221;174;38;9;411;96;85;230;200;160;26;14;364;52;122;190;209;170;20;19;409;57;139;213
9475;    Hof (Lkr);66;63;3;–;88;1;12;75;70;62;4;4;115;16;13;86;63;60;2;1;104;25;13;66;80;70;7;3;118;13;9;96;140;132;6;2;212;25;39;148;87;78;7;2;121;4;26;91;132;120;9;3;219;55;33;131;91;82;6;3;116;19;7;90
9476;    Kronach (Lkr);10;7;–;3;39;11;20;8;34;28;3;3;79;5;43;31;56;48;5;3;167;13;83;71;59;53;1;5;242;122;61;59;86;79;3;4;174;32;48;94;73;62;5;6;138;23;61;54;42;41;1;–;68;13;22;33;43;36;4;3;158;50;66;42
9477;    Kulmbach (Lkr);71;62;5;4;161;70;22;69;81;71;8;2;112;4;29;79;105;87;15;3;157;20;43;94;90;82;4;4;156;43;33;80;142;119;9;14;301;92;98;111;127;118;7;2;171;24;36;111;101;93;6;2;141;28;29;84;76;60;13;3;182;68;48;66
9478;    Lichtenfels (Lkr);79;72;3;4;162;20;60;82;94;81;6;7;187;33;54;100;79;69;7;3;144;20;31;93;101;80;10;11;207;40;55;112;126;111;8;7;261;71;58;132;179;151;18;10;346;76;101;169;173;144;17;12;349;94;99;156;116;94;19;3;191;32;46;113
9479;    Wunsiedel i.Fichtelgebirge (Lkr);42;37;3;2;69;1;15;53;58;53;2;3;97;19;19;59;44;42;1;1;71;1;–;70;62;60;2;–;86;3;24;59;49;48;–;1;81;3;31;47;100;87;2;11;213;65;64;84;82;79;2;1;158;66;28;64;102;84;6;12;286;120;73;93
9561;    Ansbach (Krfr.St);30;23;5;2;90;15;37;38;43;39;2;2;114;21;30;63;36;22;3;11;469;329;106;34;22;15;1;6;117;70;31;16;59;47;6;6;128;30;52;46;36;22;7;7;139;44;63;32;17;13;3;1;69;26;29;14;30;21;5;4;66;15;29;22
9562;    Erlangen (Krfr.St);154;119;9;26;533;247;187;99;157;106;9;42;993;619;212;162;128;94;9;25;1056;813;135;108;88;49;2;37;792;470;248;74;79;39;7;33;510;234;221;55;88;47;4;37;575;258;251;66;102;81;–;21;584;255;244;85;126;94;8;24;383;75;202;106
9563;    Fürth (Krfr.St);150;110;3;37;602;153;311;138;219;164;4;51;877;231;451;195;98;65;3;30;391;74;242;75;99;58;4;37;462;120;264;78;120;73;12;35;678;327;250;101;152;113;7;32;648;224;327;97;139;77;2;60;900;292;546;62;84;53;1;30;520;197;269;54
9564;    Nürnberg (Krfr.St);320;229;11;80;1843;789;710;344;438;289;12;137;2719;1439;795;485;258;167;6;85;1367;432;655;280;274;182;13;79;1329;442;602;285;211;120;3;88;1715;852;685;178;357;248;10;99;1902;826;804;272;297;188;10;99;1773;673;842;258;219;102;11;106;2384;1382;820;182
9565;    Schwabach (Krfr.St);46;34;3;9;96;4;51;41;53;38;4;11;169;12;98;59;39;34;–;5;79;11;13;55;53;40;4;9;154;33;68;53;47;33;2;12;155;26;73;56;27;16;4;7;103;27;47;29;42;32;5;5;81;21;23;37;50;38;7;5;101;14;38;49
9571;    Ansbach (Lkr);340;288;34;18;537;86;141;310;440;365;38;37;829;166;297;366;438;367;44;27;759;159;203;397;377;323;32;22;591;92;186;313;453;387;38;28;787;173;234;380;345;285;34;26;587;100;194;293;474;343;93;38;980;228;361;391;468;343;82;43;1019;241;375;403
9572;    Erlangen-Höchstadt (Lkr);337;276;24;37;657;80;215;362;380;334;22;24;611;42;185;384;441;386;25;30;736;80;185;471;592;513;46;33;942;87;208;647;478;390;31;57;1058;191;363;504;272;230;18;24;593;163;188;242;382;325;28;29;796;188;207;401;153;114;17;22;394;95;164;135
9573;    Fürth (Lkr);226;182;17;27;493;67;192;234;213;173;15;25;432;24;194;214;230;183;19;28;505;92;192;221;254;206;20;28;573;75;255;243;225;165;16;44;672;129;330;213;212;157;10;45;585;95;280;210;162;126;16;20;346;69;131;146;175;138;14;23;493;108;216;169
9574;    Nürnberger Land (Lkr);489;447;22;20;761;122;218;421;322;271;27;24;584;49;194;341;340;274;28;38;672;135;246;291;342;290;15;37;668;92;232;344;329;286;14;29;637;54;242;341;296;237;28;31;595;91;230;274;434;375;31;28;725;67;219;439;336;275;38;23;600;65;210;325
9575;    Neustadt a.d.Aisch-Bad Windsheim (Lkr);148;138;8;2;174;6;48;120;162;149;10;3;205;14;50;141;250;226;11;13;356;45;97;214;243;206;22;15;352;37;123;192;233;186;19;28;412;48;162;202;202;174;21;7;328;60;109;159;289;240;32;17;491;80;175;236;250;179;55;16;414;68;147;199
9576;    Roth (Lkr);250;214;21;15;419;73;101;245;263;237;10;16;411;31;121;259;287;259;20;8;389;25;94;270;276;244;17;15;458;56;135;267;310;277;23;10;497;91;96;310;338;292;24;22;570;54;218;298;300;237;36;27;542;74;186;282;302;232;40;30;645;116;229;300
9577;    Weißenburg-Gunzenhausen (Lkr);158;140;11;7;272;16;122;134;168;139;15;14;351;72;119;160;180;138;25;17;333;45;153;135;213;168;24;21;498;133;219;146;240;214;18;8;432;94;129;209;136;113;16;7;244;50;96;98;230;175;42;13;410;73;169;168;227;165;39;23;573;153;239;181
9661;    Aschaffenburg (Krfr.St);44;25;3;16;149;6;79;64;79;42;6;31;536;221;234;81;61;21;7;33;482;159;248;75;49;23;8;18;223;66;114;43;71;33;3;35;355;129;163;63;49;20;4;25;380;73;233;74;53;29;9;15;249;121;69;59;67;44;3;20;434;182;198;54
