Betriebsgrößenstruktur in der Landwirtschaft 2005, 2007, 2010, 2016 und 2020;;;;;;;;;;;;;;;;;;;;;;;;;;
9177;    Erding (Lkr);372;336;527;747;322;338;306;496;710;335;59;286;476;657;358;37;253;481;574;375;47;240;450;529;383
9178;    Freising (Lkr);323;269;453;523;264;291;256;394;486;278;38;226;369;449;284;40;210;321;421;282;32;214;293;402;277
9179;    Fürstenfeldbruck (Lkr);106;113;148;220;159;94;106;136;211;155;17;99;123;197;154;13;95;107;172;158;18;89;112;159;159
9180;    Garmisch-Partenkirchen (Lkr);209;190;214;238;47;206;180;216;217;45;28;162;206;217;46;15;155;202;203;55;15;161;201;197;75
9181;    Landsberg am Lech (Lkr);188;182;302;379;241;175;153;276;353;247;22;147;256;306;259;26;146;238;272;255;15;140;223;234;274
9182;    Miesbach (Lkr);152;187;345;460;94;132;180;323;454;92;15;150;303;442;99;14;148;295;424;97;10;150;287;413;99
9183;    Mühldorf a.Inn (Lkr);367;286;555;840;170;332;252;530;790;190;67;253;502;758;194;55;241;460;669;226;48;246;426;599;248
9184;    München (Lkr);89;93;139;212;107;82;93;126;193;115;27;84;113;185;117;20;76;108;171;119;19;83;93;173;118
9185;    Neuburg-Schrobenhausen (Lkr);289;265;504;446;235;256;229;443;418;247;38;219;399;369;263;33;185;352;332;270;28;193;306;294;271
9186;    Pfaffenhofen a.d.Ilm (Lkr);386;369;504;498;172;358;335;450;485;182;68;286;409;440;194;50;256;333;389;220;39;247;311;354;227
9187;    Rosenheim (Lkr);525;522;951;1223;139;458;481;909;1179;157;96;450;839;1121;183;78;466;747;1024;223;74;487;693;916;273
9188;    Starnberg (Lkr);71;76;115;143;89;72;71;108;131;91;15;58;96;131;86;13;57;93;110;90;10;58;95;93;94
9189;    Traunstein (Lkr);507;455;834;1133;174;474;439;777;1066;196;63;420;725;982;222;54;411;666;873;270;35;402;608;784;297
9190;    Weilheim-Schongau (Lkr);251;220;501;758;195;231;222;474;716;213;26;203;441;679;228;27;206;432;594;261;17;231;398;527;293
9261;    Landshut (Krfr.St);19;8;25;28;12;12;10;24;25;13;3;9;22;22;16;3;13;20;22;14;2;13;21;19;13
9262;    Passau (Krfr.St);34;14;21;22;3;32;14;19;21;2;6;10;21;18;2;3;14;16;14;5;3;17;9;14;5
9263;    Straubing (Krfr.St);27;11;30;29;27;30;11;27;23;28;15;10;26;22;27;9;12;19;24;23;9;14;14;18;23
9271;    Deggendorf (Lkr);497;485;473;498;227;446;431;427;466;237;47;364;412;430;243;32;339;382;389;244;24;299;349;347;241
9272;    Freyung-Grafenau (Lkr);641;433;388;373;88;582;392;372;366;100;35;354;347;326;116;32;338;332;260;135;15;353;290;223;149
9273;    Kelheim (Lkr);306;328;494;582;237;278;297;451;535;249;42;245;418;516;256;42;222;337;456;266;30;198;286;425;267
9274;    Landshut (Lkr);381;417;706;1026;525;351;378;637;954;544;58;337;607;874;554;120;323;548;756;587;136;298;487;703;592
9275;    Passau (Lkr);903;597;781;1014;433;779;545;690;957;455;98;465;632;901;464;75;438;545;742;513;64;429;477;655;542
9276;    Regen (Lkr);519;396;408;321;57;467;371;393;311;61;42;326;375;280;80;25;288;334;253;91;18;270;310;236;100
9277;    Rottal-Inn (Lkr);682;574;864;1071;331;596;515;796;998;359;87;438;726;935;380;86;417;667;775;432;65;431;597;688;461
9278;    Straubing-Bogen (Lkr);534;528;751;644;387;480;469;692;614;402;60;419;641;571;410;52;373;565;505;422;45;360;483;433;437
9279;    Dingolfing-Landau (Lkr);299;335;516;498;336;287;277;474;466;347;38;250;463;435;348;47;238;417;388;346;50;222;363;346;348
9361;    Amberg (Krfr.St);20;10;16;22;16;17;10;15;19;17;2;9;15;16;17;1;8;11;17;15;1;10;11;13;15
9362;    Regensburg (Krfr.St);18;15;14;16;13;19;13;15;17;12;9;10;8;21;12;9;10;8;17;12;8;10;8;15;12
9363;    Weiden i.d.OPf. (Krfr.St);14;16;23;32;17;11;12;20;31;18;5;10;24;26;20;6;10;16;24;20;5;9;13;26;19
9371;    Amberg-Sulzbach (Lkr);326;343;453;497;293;276;296;406;472;303;20;250;369;426;307;18;233;337;363;323;9;218;300;334;320
9372;    Cham (Lkr);657;660;875;871;250;556;611;817;816;282;55;520;773;746;308;35;468;756;631;346;21;460;675;586;367
9373;    Neumarkt i.d.OPf. (Lkr);437;543;715;543;312;380;472;669;513;328;37;420;620;464;343;21;380;556;381;360;16;365;488;346;355
9374;    Neustadt a.d.Waldnaab (Lkr);245;267;472;576;278;213;240;429;548;289;19;213;405;492;309;14;183;366;413;328;15;181;302;375;339
9375;    Regensburg (Lkr);290;369;613;653;408;281;321;551;613;424;36;288;522;574;429;36;273;486;503;442;25;248;426;461;442
9376;    Schwandorf (Lkr);399;464;609;692;296;352;432;551;648;308;38;363;535;573;339;33;335;460;485;376;28;306;421;437;386
9377;    Tirschenreuth (Lkr);222;255;352;572;231;202;230;325;536;251;18;210;294;485;278;22;191;258;403;302;15;172;253;352;307
9461;    Bamberg (Krfr.St);49;5;6;4;1;43;7;5;4;1;22;4;9;3;1;15;10;4;6;1;11;7;6;3;1
9462;    Bayreuth (Krfr.St);22;9;12;19;21;16;8;8;19;21;5;10;8;16;21;3;12;7;15;21;2;12;6;13;21
9463;    Coburg (Krfr.St);9;4;6;10;9;9;3;5;7;10;3;3;6;4;10;2;1;6;4;9;2;4;3;3;9
9464;    Hof (Krfr.St);13;4;14;14;19;10;4;12;13;19;4;5;11;14;19;4;2;14;12;20;3;3;10;11;19
9471;    Bamberg (Lkr);429;508;627;336;253;380;459;557;330;260;31;394;474;299;268;32;306;401;268;264;27;307;346;250;269
9472;    Bayreuth (Lkr);454;442;487;461;289;401;422;443;426;295;26;360;403;393;292;26;320;356;328;302;16;314;319;298;303
9473;    Coburg (Lkr);134;92;191;235;248;106;91;171;219;249;11;84;144;203;252;12;73;114;158;252;12;78;109;151;227
9474;    Forchheim (Lkr);830;485;356;205;123;706;466;328;183;127;272;429;292;171;129;181;383;245;157;137;155;342;230;147;134
9475;    Hof (Lkr);139;101;241;405;344;114;89;221;390;342;13;81;203;350;349;19;80;186;300;341;10;95;167;275;331
9476;    Kronach (Lkr);158;178;234;154;86;150;175;213;142;92;16;157;183;117;99;13;137;158;112;98;11;127;146;113;93
9477;    Kulmbach (Lkr);165;161;279;240;215;150;145;248;236;214;17;115;217;206;226;17;102;180;187;219;10;104;168;160;219
9478;    Lichtenfels (Lkr);187;266;259;169;124;164;245;245;160;124;13;216;226;137;128;9;184;179;119;129;4;169;157;105;129
9479;    Wunsiedel i.Fichtelgebirge (Lkr);64;53;118;239;166;60;49;105;217;177;12;52;100;187;177;6;35;95;158;183;5;35;80;151;171
9561;    Ansbach (Krfr.St);29;48;62;40;23;33;42;57;34;25;4;42;50;33;25;2;28;36;21;31;3;21;30;24;29
9562;    Erlangen (Krfr.St);19;14;28;28;16;19;12;30;23;18;2;17;27;18;21;2;20;20;16;21;2;19;18;13;24
9563;    Fürth (Krfr.St);28;15;23;14;16;25;17;14;17;16;22;12;16;15;15;18;12;18;12;17;17;9;15;13;15
9564;    Nürnberg (Krfr.St);73;62;57;30;14;71;51;57;29;14;34;49;57;27;10;37;39;44;28;15;26;34;52;23;17
9565;    Schwabach (Krfr.St);16;16;15;15;3;15;14;11;16;4;5;11;9;15;4;6;7;8;14;5;3;7;7;13;5
9571;    Ansbach (Lkr);660;639;1023;916;720;578;583;929;856;746;83;509;891;758;757;70;491;796;639;761;44;442;715;579;748
9572;    Erlangen-Höchstadt (Lkr);253;253;224;137;104;246;228;211;130;105;45;204;176;123;104;26;159;172;107;107;21;138;152;104;106
9573;    Fürth (Lkr);60;78;100;154;125;46;78;86;143;128;8;61;86;130;131;11;47;90;117;125;8;50;74;116;118
9574;    Nürnberger Land (Lkr);356;277;291;215;115;324;261;272;203;123;37;218;240;187;129;21;184;210;168;136;19;175;186;146;144
9575;    Neustadt a.d.Aisch-Bad Windsheim (Lkr);368;338;547;783;413;332;311;486;727;437;91;270;429;654;455;104;219;354;507;465;94;212;306;433;465
9576;    Roth (Lkr);305;350;440;356;174;277;324;403;333;189;60;278;361;278;213;45;237;309;255;214;32;220;280;218;227
9577;    Weißenburg-Gunzenhausen (Lkr);317;359;489;447;271;290;333;452;418;283;50;302;408;384;288;25;267;395;329;288;27;237;383;289;283
9661;    Aschaffenburg (Krfr.St);7;5;3;4;7;7;6;3;4;6;6;3;3;4;6;3;3;–;5;6;2;1;3;5;5
9662;    Schweinfurt (Krfr.St);1;–;–;2;4;1;–;–;2;4;–;–;–;3;4;2;–;2;1;3;1;1;2;1;2
9663;    Würzburg (Krfr.St);28;5;23;19;15;23;7;20;19;15;13;9;14;17;17;13;11;11;12;15;13;8;12;8;14
9671;    Aschaffenburg (Lkr);210;122;104;87;90;205;125;105;82;85;42;126;97;85;81;29;137;107;84;86;28;147;98;77;90
9672;    Bad Kissingen (Lkr);356;300;289;187;220;336;265;285;178;220;33;240;251;172;221;24;241;215;159;218;22;215;217;154;213
9673;    Rhön-Grabfeld (Lkr);272;253;322;263;298;257;245;306;245;306;19;232;278;232;306;17;192;256;195;326;8;186;220;184;313
9674;    Haßberge (Lkr);319;281;358;269;253;308;266;318;249;259;54;230;285;221;255;56;201;248;198;253;44;183;220;184;257
9675;    Kitzingen (Lkr);851;258;307;392;229;786;234;301;374;237;433;225;271;348;236;398;188;230;292;250;363;179;195;277;243
9676;    Miltenberg (Lkr);180;110;106;112;105;175;92;103;106;102;61;79;95;103;103;68;85;93;89;101;53;86;89;84;97
9677;    Main-Spessart (Lkr);391;262;284;222;230;386;232;270;202;231;114;201;233;197;232;99;185;198;197;228;88;186;181;179;225
9678;    Schweinfurt (Lkr);382;196;386;331;280;350;186;357;306;283;140;175;312;283;285;110;157;248;254;284;97;142;213;229;282
9679;    Würzburg (Lkr);464;226;401;525;327;401;198;366;498;337;181;184;340;471;334;167;161;303;390;342;162;149;259;336;339
9761;    Augsburg (Krfr.St);23;8;19;18;20;23;14;11;14;22;12;10;9;14;19;8;9;10;13;19;11;8;10;14;19
9762;    Kaufbeuren (Krfr.St);13;5;13;18;5;14;4;12;18;5;5;3;10;15;5;3;4;10;13;6;1;5;8;13;6
9763;    Kempten (Allgäu) (Krfr.St);17;15;32;57;6;17;12;30;57;7;9;10;26;48;11;3;6;25;40;14;3;10;24;37;14
9764;    Memmingen (Krfr.St);29;19;28;45;11;23;18;29;42;12;6;10;31;37;11;9;15;22;30;16;6;21;17;25;14
9771;    Aichach-Friedberg (Lkr);230;232;403;475;266;214;198;384;451;272;35;184;362;402;278;43;146;337;347;301;39;144;297;321;301
9772;    Augsburg (Lkr);287;238;454;540;289;265;226;419;512;295;54;201;391;455;312;57;178;363;375;332;52;181;322;333;345
9773;    Dillingen a.d.Donau (Lkr);182;189;347;357;304;193;166;311;341;308;47;141;300;312;306;50;143;269;260;322;41;151;242;225;326
9774;    Günzburg (Lkr);222;216;364;389;225;205;194;334;360;242;49;171;305;320;252;35;180;281;263;267;35;195;253;237;275
9775;    Neu-Ulm (Lkr);142;137;195;223;149;115;126;179;204;151;33;115;169;190;149;30;118;149;173;155;25;118;136;157;159
9776;    Lindau (Bodensee) (Lkr);234;192;313;302;32;192;176;295;288;41;93;155;273;279;46;77;141;254;252;60;73;157;224;229;73
9777;    Ostallgäu (Lkr);288;275;815;1362;232;237;252;769;1296;260;55;248;723;1152;325;70;263;625;928;417;50;292;554;807;478
9778;    Unterallgäu (Lkr);345;242;764;1269;237;268;220;705;1175;276;79;227;645;1043;321;118;231;569;753;429;73;252;487;588;468
9779;    Donau-Ries (Lkr);357;484;798;622;443;316;415;738;574;465;56;384;709;510;473;47;337;627;468;495;45;323;572;439;482
9780;    Oberallgäu (Lkr);264;374;839;1038;148;255;339;779;996;162;52;316;716;920;202;50;340;618;810;267;32;359;593;747;338
9171111;      Altötting, St;7;10;15;20;10;9;9;13;19;12;2;10;14;17;12;1;9;14;16;10;–;9;16;12;10
9171112;      Burghausen, St;9;3;5;4;1;7;2;4;4;1;2;1;5;4;1;3;1;3;3;2;2;–;3;3;2
9171113;      Burgkirchen a.d.Alz;28;14;33;35;9;24;12;30;34;9;3;12;31;32;10;1;17;28;28;10;2;15;23;21;12
9171114;      Emmerting;4;3;3;3;–;5;2;2;3;–;1;1;2;3;–;1;1;4;1;1;–;2;3;1;1
9171115;      Erlbach;30;12;24;29;5;27;11;26;27;6;1;13;24;24;7;2;17;20;23;6;1;18;18;22;7
9171116;      Feichten a.d.Alz;9;5;9;15;7;7;3;7;15;6;1;3;5;14;5;1;3;5;13;4;1;4;3;8;5
9171117;      Garching a.d.Alz;9;6;12;13;10;9;8;10;14;9;1;6;11;12;9;–;10;12;9;11;–;6;12;7;13
9171118;      Haiming;16;12;11;14;4;16;11;11;13;4;3;9;11;12;5;1;11;9;12;5;1;10;9;13;5
9171119;      Halsbach;6;5;8;29;5;6;3;8;24;8;2;2;9;21;8;2;2;11;14;11;2;3;9;11;12
9171121;      Kastl;16;6;22;26;9;14;8;20;21;12;3;7;21;19;11;2;8;19;18;11;–;10;19;17;12
9171122;      Kirchweidach;3;4;12;20;9;3;5;9;17;10;–;3;8;17;9;–;3;10;9;11;–;7;6;8;12
9171123;      Marktl, M;14;11;14;12;8;15;8;13;11;9;2;6;14;11;9;3;6;13;8;9;2;7;9;6;11
9171124;      Mehring;8;6;13;15;8;5;7;12;15;8;1;5;11;13;9;–;6;9;11;9;–;12;6;9;10
9171125;      Neuötting, St;9;6;14;14;4;7;4;11;11;7;1;2;11;11;7;–;5;10;9;7;1;5;8;8;8
9171126;      Perach;21;8;13;8;1;14;7;13;7;2;1;7;11;6;2;1;5;12;4;3;–;6;11;3;4
9171127;      Pleiskirchen;37;22;45;45;13;39;18;46;41;13;5;13;42;43;13;1;14;41;40;16;4;16;38;39;14
9171129;      Reischach;18;12;32;22;4;18;10;29;17;7;5;11;27;17;6;4;11;18;12;9;1;7;15;13;9
9171130;      Stammham;3;2;1;2;3;1;2;1;2;3;–;2;1;2;3;–;3;–;2;3;–;2;–;2;3
9171131;      Teising;2;–;3;7;1;2;–;3;7;1;–;–;3;6;2;–;1;1;5;2;–;1;2;3;3
9171132;      Töging a.Inn, St;5;–;3;9;2;4;1;2;9;2;–;1;2;9;2;2;1;1;7;3;–;2;–;6;2
9171133;      Tüßling, M;6;11;5;15;4;7;9;4;14;5;–;6;6;12;6;–;7;8;9;8;–;6;7;8;8
9171134;      Tyrlaching;2;3;6;26;11;4;–;5;25;11;–;–;4;26;10;–;2;3;26;10;1;3;3;21;12
9171135;      Unterneukirchen;8;9;29;14;10;6;9;28;13;10;–;12;22;12;11;–;8;19;15;8;–;8;15;11;11
9171137;      Winhöring;7;6;12;9;5;5;6;11;9;5;–;4;13;8;5;–;8;11;6;5;–;10;5;6;6
9172111;      Ainring;17;15;42;33;2;11;15;41;33;2;6;11;41;31;4;5;16;33;29;5;2;16;32;26;7
9172112;      Anger;24;31;55;12;–;24;31;51;9;2;7;27;45;8;3;5;25;37;9;4;4;25;36;10;4
9172114;      Bad Reichenhall, GKSt;18;13;9;4;1;18;9;8;4;1;2;12;8;3;1;–;12;4;5;1;–;13;3;5;1
9172115;      Bayerisch Gmain;4;3;2;2;–;3;3;2;2;–;–;2;3;2;–;–;3;3;2;–;–;2;5;1;–
9172116;      Berchtesgaden, M;73;39;10;7;–;74;36;11;6;–;1;37;10;6;–;1;30;13;7;1;1;27;12;8;1
9172117;      Bischofswiesen;35;41;13;13;3;30;41;14;11;3;3;35;14;11;2;1;33;13;11;4;4;31;16;9;4
9172118;      Freilassing, St;6;2;8;7;2;5;1;8;7;2;–;2;6;5;3;–;2;7;4;3;1;3;7;1;4
9172122;      Laufen, St;21;19;36;33;1;20;16;28;38;1;5;8;29;35;2;2;10;31;29;3;4;14;24;27;6
9172124;      Marktschellenberg, M;37;51;7;3;–;33;51;8;3;–;1;39;11;4;–;2;33;13;1;–;1;30;13;2;–
9172128;      Piding;4;3;15;7;–;3;3;15;7;–;–;3;12;7;1;–;3;13;6;1;1;5;9;6;2
9172129;      Ramsau b.Berchtesgaden;19;18;25;16;–;17;19;23;17;–;–;20;25;15;–;–;24;20;16;–;–;23;21;15;–
9172130;      Saaldorf-Surheim;21;24;41;41;2;24;16;40;39;2;7;13;37;41;2;2;20;30;37;4;2;19;26;34;6
9172131;      Schneizlreuth;5;12;12;8;–;6;10;10;10;–;–;9;8;11;1;–;7;10;9;–;–;7;11;8;–
9172132;      Schönau a.Königssee;27;23;5;8;5;26;21;7;9;4;4;23;7;10;4;1;18;8;14;1;1;14;8;13;2
9172134;      Teisendorf, M;52;74;152;59;9;47;67;145;59;11;8;60;144;55;12;6;61;136;52;13;7;64;124;49;15
9172444;      Gemeindefreie Gebiete;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
9173111;      Bad Heilbrunn;6;13;16;28;6;5;11;13;29;6;1;7;13;27;6;–;5;12;25;7;–;8;13;21;8
9173112;      Bad Tölz, St;6;1;6;17;4;4;1;5;18;4;–;3;5;17;3;–;3;3;18;4;–;5;2;17;6
9173113;      Benediktbeuern;8;7;10;10;2;8;4;11;11;2;3;5;7;11;2;2;6;9;8;2;2;2;9;8;3
9173115;      Bichl;4;3;2;13;1;3;3;2;13;1;1;1;2;12;2;1;1;2;11;2;–;3;2;9;3
9173118;      Dietramszell;26;33;43;80;14;26;24;39;77;16;4;22;39;77;15;2;21;37;72;16;3;26;36;68;19
9173120;      Egling;27;23;32;46;13;22;21;32;47;13;3;14;30;45;14;2;14;27;49;10;1;15;27;47;10
9173123;      Eurasburg;10;5;19;39;9;6;6;17;36;10;1;5;18;35;10;1;5;15;35;10;2;6;13;30;14
9173124;      Gaißach;15;20;28;21;7;14;17;28;20;8;1;17;29;21;7;1;16;28;20;7;2;15;30;20;6
9173126;      Geretsried, St;5;3;4;11;2;4;2;2;11;2;2;2;2;10;2;1;3;2;11;2;1;3;3;11;2
9173127;      Greiling;–;–;3;10;–;1;–;4;9;1;–;1;3;10;1;–;1;3;10;–;–;–;5;8;–
9173130;      Icking;2;5;8;11;3;1;5;8;12;2;–;3;8;10;2;–;6;7;11;2;1;5;6;12;2
9173131;      Jachenau;3;4;2;15;12;3;4;3;17;10;1;2;5;17;9;–;4;4;16;10;–;2;4;16;10
9173133;      Kochel a.See;9;10;13;13;4;7;9;13;14;4;1;8;13;14;4;–;9;10;13;6;–;6;13;11;8
9173134;      Königsdorf;5;13;24;26;2;6;12;24;24;3;–;10;20;27;3;1;9;20;22;4;2;8;21;19;4
9173135;      Lenggries;31;20;19;33;26;32;18;19;31;29;4;17;17;30;29;3;16;16;35;25;–;14;18;38;21
9173137;      Münsing;7;6;25;46;6;5;7;22;45;7;1;5;21;43;9;2;5;24;39;6;2;8;21;37;8
9173140;      Reichersbeuern;2;4;5;10;1;2;4;5;10;1;–;6;6;8;1;1;3;5;9;1;1;2;7;8;1
9173141;      Sachsenkam;2;5;6;11;1;3;3;6;11;1;–;3;6;7;3;–;2;5;7;4;–;2;5;6;5
9173142;      Schlehdorf;–;3;6;15;3;1;1;4;15;4;–;2;6;10;7;–;2;6;10;7;–;3;6;9;8
9173145;      Wackersberg;12;15;28;55;6;11;13;29;56;6;1;9;28;51;9;–;12;28;49;8;–;10;31;48;8
9173147;      Wolfratshausen, St;1;2;–;3;1;1;1;1;2;1;1;1;–;3;1;1;1;3;–;1;1;1;3;–;1
9173444;      Gemeindefreie Gebiete;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
9174111;      Altomünster, M;26;20;34;63;25;20;17;36;54;26;5;11;35;48;27;3;14;23;47;29;3;11;19;40;30
9174113;      Bergkirchen;16;18;19;49;22;12;17;17;48;21;4;20;10;47;22;6;17;8;46;24;3;16;9;44;25
9174115;      Dachau, GKSt;9;5;6;16;13;7;6;5;17;12;3;4;8;13;13;2;4;8;12;13;2;2;8;9;14
9174118;      Erdweg;4;8;16;24;11;4;10;14;23;11;–;8;13;20;12;–;10;13;15;12;–;9;13;16;13
9174121;      Haimhausen;5;3;8;15;14;6;2;9;12;14;1;3;9;10;14;1;–;10;9;15;1;3;6;10;14
9174122;      Hebertshausen;6;5;9;20;14;6;3;10;17;15;3;2;7;13;18;1;1;6;9;19;1;1;6;10;20
9174126;      Karlsfeld;–;3;2;2;3;–;3;2;2;3;–;2;3;1;3;–;2;3;1;3;–;1;1;2;3
9174131;      Markt Indersdorf, M;13;25;36;63;25;17;20;32;63;23;1;18;32;58;27;–;16;25;46;33;1;18;22;45;35
9174135;      Odelzhausen;5;4;11;17;12;5;4;11;15;12;2;4;11;11;12;1;5;11;10;14;1;6;11;8;12
9174136;      Petershausen;7;10;12;13;12;6;8;11;12;12;1;7;9;10;11;2;8;8;11;9;2;5;8;8;11
9174137;      Pfaffenhofen a.d.Glonn;2;2;7;17;9;1;2;5;18;8;–;2;5;17;9;1;3;6;15;8;–;2;7;15;8
9174141;      Röhrmoos;6;12;7;11;16;6;10;3;14;15;2;10;4;13;15;1;5;5;14;16;1;7;3;12;15
9174143;      Schwabhausen;3;5;11;20;15;4;5;10;17;15;–;5;9;18;15;–;5;8;19;15;–;4;6;19;15
9174146;      Sulzemoos;5;3;7;9;9;2;4;6;9;8;–;3;5;8;8;–;2;1;11;8;1;3;2;10;7
9174147;      Hilgertshausen-Tandern;10;6;20;20;11;5;8;19;18;11;2;7;18;17;11;2;7;14;15;13;1;6;14;10;16
9174150;      Vierkirchen;4;2;13;12;15;3;4;9;13;15;–;2;12;13;16;–;4;13;10;19;–;7;10;13;17
9174151;      Weichs;5;3;4;9;10;4;2;2;9;10;–;2;3;8;10;–;2;2;8;11;–;2;3;6;11
9175111;      Anzing;2;4;8;24;7;3;3;9;24;6;–;6;6;24;7;–;3;9;22;6;–;3;10;16;8
9175112;      Aßling;18;12;20;32;2;13;13;17;32;2;2;14;15;32;3;3;12;16;28;4;2;13;21;22;6
9175113;      Baiern;8;4;15;21;7;7;5;14;21;8;2;3;13;24;5;1;5;14;20;8;2;7;9;18;10
9175114;      Bruck;8;7;13;22;8;5;6;15;20;8;2;5;13;21;8;1;5;11;21;7;1;5;12;21;6
9175115;      Ebersberg, St;17;21;24;34;5;12;21;20;32;7;5;17;18;30;7;5;17;19;28;8;4;17;17;28;10
9175116;      Egmating;11;5;5;8;5;10;6;3;8;5;1;5;5;7;4;1;7;7;4;3;–;8;9;1;4
9175118;      Forstinning;7;8;4;14;5;4;6;6;13;5;–;3;4;11;4;–;4;4;7;6;–;3;3;9;5
9175119;      Frauenneuharting;10;15;16;31;7;10;12;15;30;8;4;12;14;29;9;3;9;16;27;9;2;7;15;27;9
9175121;      Glonn, M;14;12;21;13;7;14;12;18;12;7;1;13;16;10;8;3;12;18;10;7;3;12;18;9;7
9175122;      Grafing b.München, St;19;11;17;32;2;18;11;16;30;3;3;9;15;29;3;–;12;17;24;5;1;13;12;20;6
9175123;      Hohenlinden;22;10;20;11;–;22;11;18;11;–;1;9;18;12;–;1;10;17;13;–;1;14;15;12;–
9175124;      Kirchseeon, M;3;3;3;10;2;3;3;3;11;2;1;3;3;9;4;1;2;4;6;4;–;3;4;7;4
9175127;      Markt Schwaben, M;2;2;2;4;3;2;2;1;3;4;–;1;1;2;4;–;1;1;2;4;–;1;1;2;4
9175128;      Moosach;5;5;5;8;2;3;4;5;8;2;1;5;5;8;2;–;4;3;8;3;–;2;3;7;4
9175131;      Oberpframmern;4;7;3;7;2;2;6;3;7;2;1;5;3;7;2;1;6;3;7;2;1;5;3;7;2
9175132;      Vaterstetten;7;7;12;25;11;6;8;9;26;11;4;7;5;25;12;1;5;9;21;13;1;4;7;22;13
