Kindertageseinrichtungen seit 2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
94;  Oberfranken;758;48886;45943;9192;24913;11597;241;8918;766;50682;47633;9519;25818;12059;237;9389;777;52211;48342;9492;26309;12345;196;9672;794;54178;50048;10252;26662;12925;209;9944;807;55818;51497;10584;27104;13655;154;10308;823;57319;52357;10652;27330;14195;180;10902
95;  Mittelfranken;1523;95276;87648;15367;45793;25941;547;18418;1536;97586;90734;15895;47262;27092;485;19243;1568;101045;92387;15877;48335;27701;474;20080;1592;104157;95337;16884;48933;29039;481;20747;1601;106662;97935;17409;49666;30453;407;21187;1602;108712;98723;17233;49880;31223;387;22363
96;  Unterfranken;895;64947;58039;12370;32800;12572;297;11765;916;67029;60266;13022;33888;13065;291;12282;933;69160;61264;12853;34769;13362;280;12711;956;71367;63317;13860;35182;14022;253;13374;977;73211;65299;14441;35890;14750;218;13942;1007;75053;66390;14471;36138;15583;198;14620
97;  Schwaben;1214;83627;75895;11644;48097;15943;211;15618;1256;87550;79711;12427;50380;16741;163;17011;1288;90455;81261;12253;51771;17076;161;17768;1324;94740;84700;13407;53053;18089;151;18645;1344;97948;87027;14080;54102;18689;156;19631;1357;99890;88242;14287;54544;19266;145;20929
9161;    Ingolstadt (Krfr.St);99;6211;5911;1037;3639;1217;18;1221;102;6395;6023;1067;3646;1285;25;1333;107;6845;6142;1108;3639;1376;19;1402;112;7283;6504;1112;3919;1454;19;1497;114;7333;6419;1107;3781;1516;15;1527;117;7476;6538;1137;3841;1539;21;1579
9162;    München, Landeshauptstadt;1470;86619;78403;16399;38206;23323;475;17284;1448;90753;80555;16400;38715;24973;467;17915;1469;95159;82038;16490;39119;25954;475;18734;1512;98777;84333;17126;39300;27401;506;19254;1529;103561;86527;17539;39251;29198;539;19621;1554;107554;88149;17784;39317;30470;578;20368
9163;    Rosenheim (Krfr.St);37;2863;2538;363;1474;690;11;586;40;2976;2626;367;1509;740;10;612;40;3032;2645;376;1540;724;5;613;41;3130;2715;348;1582;775;10;643;42;3243;2705;334;1595;770;6;631;45;3313;2743;350;1606;781;6;666
9171;    Altötting (Lkr);64;4682;4334;621;2811;855;47;894;65;5041;4698;705;3044;896;53;989;66;5131;4759;721;3052;936;50;1033;70;5361;4855;725;3127;957;46;1063;70;5508;5015;752;3162;1055;46;1144;75;5840;5199;863;3331;967;38;1214
9172;    Berchtesgadener Land (Lkr);60;3797;3538;406;2410;702;20;636;63;4090;3718;442;2528;729;19;714;63;4149;3807;423;2619;753;12;737;64;4302;3947;444;2679;811;13;764;65;4479;4032;464;2765;795;8;803;63;4548;4087;504;2684;896;3;893
9173;    Bad Tölz-Wolfratshausen (Lkr);81;5591;4981;665;3207;1101;8;1034;83;5905;5260;738;3338;1179;5;1082;85;6005;5304;752;3394;1152;6;1095;86;6315;5490;738;3506;1241;5;1173;90;6436;5557;806;3551;1192;8;1230;91;6598;5583;771;3545;1262;5;1327
9174;    Dachau (Lkr);117;8992;8026;1270;4230;2517;9;1629;118;9417;8241;1288;4370;2576;7;1642;121;9626;8425;1267;4503;2646;9;1728;121;9779;8576;1290;4600;2673;13;1786;121;9932;8588;1275;4639;2664;10;1829;122;10207;8699;1264;4659;2761;15;1877
9175;    Ebersberg (Lkr);118;8556;7750;1243;4253;2230;24;1575;120;8917;7837;1246;4295;2285;11;1597;120;9168;7859;1227;4229;2386;17;1591;123;9356;7952;1316;4171;2459;6;1617;124;9550;8066;1312;4240;2506;8;1676;125;9649;8063;1365;4168;2521;9;1715
9176;    Eichstätt (Lkr);95;7028;5993;871;3927;1185;10;1250;97;7279;6146;892;4081;1166;7;1325;99;7635;6335;905;4204;1222;4;1398;101;7975;6685;1000;4355;1327;3;1476;110;8582;7056;1061;4452;1538;5;1579;114;8870;7132;1061;4531;1533;7;1666
9177;    Erding (Lkr);88;7140;6022;976;3771;1265;10;1257;89;7407;6203;954;3973;1268;8;1316;89;7536;6313;978;4003;1321;11;1342;95;7790;6405;984;4111;1301;9;1395;97;7978;6560;1086;4087;1379;8;1463;99;8104;6578;1114;4082;1374;8;1509
9178;    Freising (Lkr);123;9858;8340;1155;4896;2263;26;1691;125;10132;8481;1206;4854;2410;11;1761;127;10330;8471;1119;4911;2426;15;1802;129;10424;8584;1167;4907;2490;20;1851;129;10733;8767;1210;5005;2533;19;1915;132;11090;8767;1203;4949;2592;23;1989
9179;    Fürstenfeldbruck (Lkr);168;11741;10347;1767;5885;2655;40;2290;170;12036;10483;1781;5949;2718;35;2355;174;12276;10389;1702;6002;2654;31;2395;177;12495;10509;1754;6028;2705;22;2421;179;12523;10578;1805;5987;2753;33;2461;183;12645;10733;1824;5988;2885;36;2546
9180;    Garmisch-Partenkirchen (Lkr);49;3600;3106;407;1958;729;12;600;50;3635;3176;399;2010;751;16;623;51;3780;3226;397;2062;749;18;646;51;3849;3306;434;2145;720;7;664;51;3861;3346;519;2095;717;15;700;51;3898;3321;502;2056;752;11;714
9181;    Landsberg am Lech (Lkr);73;5294;4791;739;3147;902;3;984;74;5419;4942;744;3348;849;1;1016;76;5673;5037;752;3356;925;4;1063;81;5982;5204;814;3387;1001;2;1155;83;6224;5338;909;3407;1020;2;1268;86;6351;5501;959;3522;1018;2;1351
9182;    Miesbach (Lkr);64;4573;4337;623;2528;1164;22;805;65;4764;4396;608;2572;1207;9;832;64;4755;4317;598;2566;1146;7;853;64;4819;4371;598;2580;1188;5;881;65;4884;4348;563;2546;1229;10;905;65;5015;4384;597;2558;1223;6;972
9183;    Mühldorf a.Inn (Lkr);67;5260;4761;690;2974;1078;19;948;69;5546;5026;747;3161;1095;23;984;73;6063;5275;781;3155;1314;25;1075;78;6574;5522;886;3211;1408;17;1145;78;6992;5897;896;3277;1704;20;1232;81;7191;6075;958;3383;1711;23;1353
9184;    München (Lkr);305;22624;19830;3603;10262;5937;28;4143;313;23370;20129;3546;10391;6157;35;4304;316;23729;19850;3450;10092;6263;45;4286;321;24122;19980;3501;10046;6382;51;4283;319;24441;19945;3452;9916;6538;39;4346;316;24480;19862;3432;9851;6544;35;4459
9185;    Neuburg-Schrobenhausen (Lkr);59;4277;3890;562;2632;686;10;828;60;4476;4019;614;2701;693;11;904;61;4743;4195;648;2751;788;8;964;61;4801;4333;682;2829;819;3;1030;61;4900;4383;703;2834;844;2;1077;62;5102;4477;774;2860;837;6;1114
9186;    Pfaffenhofen a.d.Ilm (Lkr);75;6093;5455;922;3610;917;6;1074;77;6192;5672;954;3725;992;1;1139;81;6549;5798;973;3774;1046;5;1173;83;6835;5963;1039;3852;1068;4;1229;86;7151;6217;1060;4013;1136;8;1324;88;7361;6333;1154;4036;1141;2;1399
9187;    Rosenheim (Lkr);160;12014;10295;1457;6626;2126;86;2181;163;12374;10626;1535;6818;2224;49;2302;163;12869;10895;1548;6996;2307;44;2384;168;13325;11264;1586;7221;2420;37;2518;169;13554;11564;1670;7272;2586;36;2651;173;13961;11703;1625;7298;2736;44;2762
9188;    Starnberg (Lkr);134;8037;7090;1102;3681;2281;26;1361;133;8246;7084;1047;3721;2296;20;1374;134;8318;7040;1059;3623;2338;20;1379;135;8438;7024;1031;3668;2309;16;1394;136;8411;7102;1062;3701;2322;17;1452;135;8385;6976;1048;3685;2228;15;1502
9189;    Traunstein (Lkr);103;7093;6288;850;4162;1238;38;1383;108;7530;6516;915;4331;1231;39;1477;114;7811;6810;988;4463;1301;58;1558;120;7966;6952;1004;4586;1320;42;1649;125;8439;7241;1058;4707;1450;26;1742;129;8707;7388;1138;4766;1469;15;1884
9190;    Weilheim-Schongau (Lkr);97;7689;5869;847;3555;1418;49;1330;98;7888;6197;920;3720;1523;34;1438;100;8123;6260;908;3822;1495;35;1470;100;8139;6441;949;3882;1581;29;1518;104;8532;6655;1026;3946;1656;27;1568;109;8627;6788;1049;4049;1666;24;1695
9261;    Landshut (Krfr.St);47;3507;2999;439;1714;793;53;641;48;3592;3138;444;1803;832;59;680;49;3697;3112;432;1708;900;72;706;47;3728;3071;414;1624;972;61;729;47;3783;3061;420;1649;932;60;733;47;3750;3046;404;1652;948;42;768
9262;    Passau (Krfr.St);33;2588;2237;396;1110;698;33;395;33;2594;2285;380;1164;716;25;413;34;2677;2230;378;1165;664;23;437;34;2642;2239;385;1169;666;19;443;34;2605;2238;386;1142;695;15;459;35;2688;2292;396;1199;689;8;497
9263;    Straubing (Krfr.St);36;2198;2027;190;1018;735;84;416;36;2304;2084;231;1062;709;82;412;35;2395;2061;206;1074;690;91;412;35;2430;2073;205;1062;733;73;414;36;2549;2065;204;1054;746;61;430;38;2575;2125;230;1048;775;72;440
9271;    Deggendorf (Lkr);60;4473;4125;594;2833;693;5;740;60;4581;4224;627;2880;712;5;788;61;4755;4219;585;2923;707;4;808;62;4819;4427;684;2917;823;3;846;65;4988;4484;709;2945;830;–;883;65;5093;4575;737;3013;824;1;931
9272;    Freyung-Grafenau (Lkr);42;2733;2445;357;1770;318;–;460;42;2898;2588;416;1831;341;–;489;44;3005;2650;367;1869;414;–;523;44;3148;2782;420;1913;449;–;560;45;3315;2826;481;1952;393;–;595;46;3463;2885;536;1897;452;–;646
9273;    Kelheim (Lkr);75;5018;4482;665;3112;697;8;868;77;5204;4654;705;3214;728;7;931;80;5427;4818;710;3322;783;3;973;82;5568;5022;762;3408;852;–;1026;84;5759;5178;796;3475;905;2;1078;86;5959;5328;810;3515;999;4;1163
9274;    Landshut (Lkr);117;8197;6977;925;4282;1706;64;1472;122;8911;7499;1119;4500;1829;51;1615;138;9402;7702;1068;4673;1885;76;1759;147;9831;8035;1191;4698;2071;75;1865;150;10103;8240;1329;4767;2071;73;1935;153;10252;8227;1285;4844;2041;57;2062
9275;    Passau (Lkr);96;7632;7007;1024;4643;1261;79;1275;99;7885;7333;1163;4717;1342;111;1358;101;8109;7330;1105;4872;1275;78;1393;104;8388;7612;1272;4739;1481;120;1481;108;8731;7975;1423;4997;1447;108;1579;110;8893;8104;1429;5161;1408;106;1659
9276;    Regen (Lkr);41;2773;2604;343;1800;420;41;404;42;2847;2710;403;1865;421;21;430;43;2999;2802;358;1927;488;29;455;43;3098;2822;405;1882;517;18;496;43;3133;2904;467;1944;473;20;499;45;3337;2995;532;1927;522;14;544
9277;    Rottal-Inn (Lkr);57;4768;4479;635;2871;904;69;860;56;4893;4709;722;2977;943;67;937;57;5168;4843;727;3116;945;55;999;55;5302;5049;757;3190;1034;68;1003;55;5478;5186;841;3199;1086;60;1081;61;5638;5321;880;3301;1091;49;1143
9278;    Straubing-Bogen (Lkr);51;4019;3806;578;2587;626;15;709;53;4224;4015;665;2677;662;11;774;55;4519;4162;681;2777;691;13;815;57;4799;4407;790;2856;745;16;880;59;5140;4776;933;3002;825;16;955;63;5385;4942;953;3126;849;14;1055
9279;    Dingolfing-Landau (Lkr);34;3549;3388;472;2316;597;3;607;33;3847;3575;584;2449;538;4;655;33;3996;3688;594;2506;577;11;692;37;4248;3930;647;2634;642;7;741;38;4333;4102;682;2723;693;4;799;40;4463;4154;708;2760;683;3;879
9361;    Amberg (Krfr.St);34;1421;1332;234;872;223;3;311;34;1464;1361;240;892;229;–;327;36;1627;1467;269;956;241;1;341;37;1676;1533;273;989;271;–;357;34;1656;1518;271;1001;245;1;366;34;1690;1543;286;1014;243;–;392
9362;    Regensburg (Krfr.St);119;6736;6488;1206;3695;1577;10;1219;118;6926;6527;1264;3636;1622;5;1243;117;7016;6582;1248;3645;1680;9;1242;116;7201;6604;1224;3598;1769;13;1275;117;7274;6694;1248;3654;1786;6;1337;118;7400;6665;1226;3546;1882;11;1411
9363;    Weiden i.d.OPf. (Krfr.St);33;1664;1563;249;987;310;17;294;33;1667;1603;254;986;350;13;309;32;1646;1563;233;986;325;19;308;33;1694;1588;272;939;358;19;317;33;1702;1588;260;970;333;25;339;33;1701;1601;278;943;361;19;343
9371;    Amberg-Sulzbach (Lkr);62;3985;3683;629;2420;623;11;720;64;4054;3842;734;2469;625;14;780;66;4335;4029;755;2565;697;12;843;67;4460;4132;796;2615;710;11;891;67;4573;4285;837;2663;775;10;891;68;4757;4421;907;2687;813;14;971
9372;    Cham (Lkr);64;4158;4304;619;3076;609;–;755;65;4255;4478;687;3157;633;1;806;66;4433;4597;675;3165;756;1;832;70;4581;4787;827;3207;751;2;886;71;4701;5008;929;3341;736;2;938;72;4874;5127;941;3424;760;2;1003
9373;    Neumarkt i.d.OPf. (Lkr);73;5473;5141;775;3545;803;18;1039;74;5767;5393;892;3637;844;20;1115;83;6226;5650;970;3721;945;14;1213;85;6291;5888;1101;3811;962;14;1298;87;6499;6184;1189;3980;1002;13;1328;90;6652;6363;1245;4103;1006;9;1413
9374;    Neustadt a.d.Waldnaab (Lkr);74;4054;3632;657;2270;702;3;732;74;4175;3754;726;2397;629;2;764;73;4201;3834;742;2431;661;–;803;73;4369;4026;839;2507;680;–;824;74;4542;4220;931;2565;722;2;888;74;4637;4269;934;2632;703;–;903
9375;    Regensburg (Lkr);139;9070;8577;1144;5392;2029;12;1628;146;9535;8911;1266;5460;2174;11;1704;148;9752;9081;1295;5562;2215;9;1748;156;10273;9391;1427;5622;2336;6;1858;162;10416;9549;1526;5696;2315;12;1960;168;10787;9841;1635;5785;2409;12;2112
9376;    Schwandorf (Lkr);88;5618;5338;818;3493;1013;14;1029;91;5755;5610;886;3622;1074;28;1081;96;6137;5920;982;3792;1113;33;1148;98;6550;6173;1075;3905;1166;27;1246;102;6845;6473;1212;4045;1200;16;1336;102;7007;6606;1233;4100;1255;18;1416
9377;    Tirschenreuth (Lkr);39;3206;3038;510;1768;750;10;529;41;3251;3112;563;1793;740;16;549;44;3345;3088;565;1765;752;6;587;44;3476;3196;625;1796;763;12;628;46;3826;3350;717;1809;820;4;706;46;3901;3462;709;1861;886;6;728
9461;    Bamberg (Krfr.St);51;2940;2952;557;1683;685;27;600;51;3053;3034;550;1696;761;27;611;51;3076;3046;544;1762;718;22;612;53;3251;3176;635;1778;740;23;632;53;3330;3284;656;1836;777;15;673;54;3370;3276;675;1806;766;29;741
9462;    Bayreuth (Krfr.St);44;2989;2933;531;1477;899;26;539;45;3170;3052;577;1511;947;17;567;46;3233;3062;502;1556;987;17;593;45;3246;3074;528;1523;1009;14;586;47;3364;3170;530;1566;1068;6;582;48;3495;3217;507;1524;1174;12;595
9463;    Coburg (Krfr.St);24;1592;1567;400;905;259;3;347;25;1734;1676;418;1002;252;4;375;26;1805;1709;434;972;298;5;389;27;1834;1734;433;1030;271;–;375;26;1839;1779;412;1043;323;1;387;28;1961;1861;414;1097;344;6;417
9464;    Hof (Krfr.St);27;1950;1943;343;1162;406;32;396;27;2031;2003;346;1162;460;35;405;27;2083;2022;350;1178;457;37;427;29;2157;2130;413;1205;481;31;456;29;2208;2156;398;1254;474;30;445;29;2227;2152;382;1219;517;34;473
9471;    Bamberg (Lkr);108;8097;7176;1528;4042;1588;18;1393;114;8430;7533;1593;4215;1710;15;1502;107;8679;7649;1592;4293;1753;11;1551;109;8961;7940;1697;4421;1812;10;1572;105;9262;8142;1748;4398;1984;12;1633;105;9366;8304;1748;4508;2035;13;1722
9472;    Bayreuth (Lkr);75;4808;4678;893;2471;1302;12;876;77;4872;4781;922;2553;1289;17;923;82;5122;4847;925;2599;1314;9;957;78;5395;5052;1002;2650;1387;13;989;84;5623;5274;1091;2740;1442;1;1062;84;5652;5393;1143;2805;1444;1;1090
9473;    Coburg (Lkr);53;4059;3578;936;2108;532;2;718;53;4195;3747;975;2157;609;6;748;53;4275;3763;973;2194;595;1;777;56;4370;3884;1063;2235;580;6;795;58;4445;4058;1098;2296;658;6;805;59;4509;3958;1048;2254;649;7;822
9474;    Forchheim (Lkr);84;5132;4878;954;3106;789;29;948;82;5350;5096;1008;3200;858;30;1049;83;5607;5258;1012;3302;930;14;1083;88;5981;5491;1134;3332;1010;15;1137;93;6156;5629;1238;3320;1056;15;1171;94;6446;5749;1242;3368;1127;12;1230
9475;    Hof (Lkr);83;3969;3798;718;1975;1089;16;694;84;4093;3890;742;2058;1076;14;726;90;4183;3927;765;2036;1111;15;774;92;4369;4105;841;2036;1206;22;819;93;4489;4242;893;2107;1231;11;869;94;4645;4362;919;2190;1239;14;925
9476;    Kronach (Lkr);47;2790;2427;536;1396;494;1;471;47;2806;2458;518;1419;519;2;485;47;2885;2516;559;1422;534;1;480;47;2912;2522;558;1386;575;3;501;47;3009;2599;582;1405;610;2;520;47;3084;2572;561;1421;587;3;554
9477;    Kulmbach (Lkr);57;3599;3295;591;1491;1189;24;654;55;3737;3428;664;1574;1161;29;685;55;3861;3449;629;1613;1187;20;678;56;3938;3599;639;1673;1266;21;677;55;3976;3616;631;1694;1276;15;689;61;4229;3783;694;1685;1384;20;771
9478;    Lichtenfels (Lkr);51;3512;3470;621;1565;1257;27;637;52;3672;3611;613;1684;1286;28;650;54;3701;3672;618;1682;1341;31;677;55;3865;3759;678;1678;1369;34;703;57;3975;3882;677;1711;1475;19;753;58;4101;3950;677;1728;1525;20;799
9479;    Wunsiedel i.Fichtelgebirge (Lkr);54;3449;3248;584;1532;1108;24;645;54;3539;3324;593;1587;1131;13;663;56;3701;3422;589;1700;1120;13;674;59;3899;3582;631;1715;1219;17;702;60;4142;3666;630;1734;1281;21;719;62;4234;3780;642;1725;1404;9;763
9561;    Ansbach (Krfr.St);28;1706;1637;279;1049;305;4;335;29;1796;1746;299;1080;361;6;381;28;1863;1738;294;1123;320;1;372;29;1945;1777;327;1114;336;–;375;29;1980;1832;333;1150;349;–;387;29;1974;1812;318;1148;343;3;420
9562;    Erlangen (Krfr.St);132;6323;6021;1175;3022;1752;72;1407;130;6329;6007;1156;2998;1775;78;1443;133;6484;6006;1144;3007;1767;88;1499;137;6726;6142;1195;2959;1897;91;1548;138;6817;6129;1137;2976;1931;85;1573;133;6909;6205;1143;3011;1980;71;1638
9563;    Fürth (Krfr.St);112;5906;5705;866;3175;1646;18;1329;114;6180;5943;944;3285;1691;23;1404;112;6294;6024;904;3380;1726;14;1420;115;6727;6331;1013;3428;1877;13;1509;115;6762;6405;1049;3486;1858;12;1535;113;6750;6315;1008;3411;1890;6;1553
9564;    Nürnberg (Krfr.St);477;28140;26865;4098;12681;9789;297;5562;471;28682;27486;4144;12842;10267;233;5733;472;29224;27604;3984;12870;10528;222;5979;474;29958;28296;4145;12984;10923;244;6092;476;30228;28857;4174;12966;11492;225;6071;473;30531;28743;4071;12942;11531;199;6413
9565;    Schwabach (Krfr.St);25;1583;1484;210;986;288;–;296;26;1625;1567;213;1047;307;–;309;27;1688;1607;222;1035;350;–;323;27;1715;1604;226;1039;338;1;331;28;1746;1639;237;1032;367;3;339;28;1830;1714;238;1066;410;–;362
9571;    Ansbach (Lkr);113;8554;8096;1770;4852;1460;14;1642;116;9034;8510;1890;5062;1542;16;1744;120;9442;8843;1897;5315;1622;9;1838;122;10027;9252;2122;5389;1733;8;1921;124;10585;9634;2275;5642;1714;3;2066;131;10921;9741;2287;5689;1756;9;2200
9572;    Erlangen-Höchstadt (Lkr);114;8600;7702;1600;4030;2060;12;1555;118;8853;8096;1683;4182;2216;15;1628;124;9256;8349;1706;4281;2352;10;1709;126;9481;8486;1745;4317;2410;14;1742;128;9781;8637;1783;4358;2480;16;1764;127;9934;8760;1783;4389;2577;11;1860
9573;    Fürth (Lkr);92;6650;5928;980;3130;1801;17;1282;91;6827;6101;998;3228;1866;9;1303;97;7241;6307;1075;3337;1881;14;1443;97;7279;6433;1112;3378;1922;21;1470;97;7287;6632;1091;3434;2100;7;1491;98;7445;6651;1084;3440;2121;6;1543
9574;    Nürnberger Land (Lkr);148;11545;9273;1667;4560;3006;40;1874;154;11429;9603;1707;4772;3091;33;1977;155;11672;9721;1692;4887;3111;31;2030;156;11727;10049;1830;4900;3295;24;2081;159;11883;10354;1858;4993;3488;15;2167;158;12130;10550;1846;5016;3662;26;2293
9575;    Neustadt a.d.Aisch-Bad Windsheim (Lkr);74;5192;4505;951;2592;957;5;993;76;5268;4700;991;2687;1011;11;1053;78;5488;4828;1064;2780;969;15;1092;80;5611;5072;1119;2828;1113;12;1135;81;6001;5347;1238;2925;1178;6;1205;83;6115;5433;1207;3040;1173;13;1284
9576;    Roth (Lkr);128;6846;6443;980;3380;2037;46;1313;132;7177;6779;1078;3568;2092;41;1382;141;7624;6991;1091;3708;2136;56;1437;146;7959;7268;1114;3902;2215;37;1521;145;8462;7584;1288;3882;2387;27;1528;148;8889;7832;1269;3892;2633;38;1690
9577;    Weißenburg-Gunzenhausen (Lkr);80;4231;3989;791;2336;840;22;830;79;4386;4196;792;2511;873;20;886;81;4769;4369;804;2612;939;14;938;83;5002;4627;936;2695;980;16;1022;81;5130;4885;946;2822;1109;8;1061;81;5284;4967;979;2836;1147;5;1107
9661;    Aschaffenburg (Krfr.St);39;2934;2931;569;1716;644;2;602;40;3032;3013;590;1800;622;1;652;40;3051;3013;600;1776;633;4;661;42;3158;3074;597;1819;656;2;691;43;3233;3112;632;1811;668;1;720;45;3336;3173;631;1864;675;3;740
9662;    Schweinfurt (Krfr.St);30;2242;2082;354;1287;439;2;409;31;2317;2178;389;1335;452;2;437;32;2446;2242;384;1389;465;4;459;32;2457;2242;401;1371;465;5;457;32;2471;2259;416;1375;466;2;480;32;2477;2249;410;1340;491;8;474
9663;    Würzburg (Krfr.St);80;5507;5259;1043;2777;1297;142;1028;80;5514;5237;1046;2767;1288;136;1037;78;5778;5200;1042;2773;1260;125;1044;82;5880;5246;1090;2789;1275;92;1094;88;5686;5300;1142;2773;1298;87;1113;90;5868;5429;1224;2817;1302;86;1199
9671;    Aschaffenburg (Lkr);98;8684;8054;1495;4370;2171;18;1625;100;9098;8436;1633;4496;2297;10;1723;107;9606;8671;1626;4669;2373;3;1842;114;10095;9173;1761;4869;2535;8;1991;118;10312;9560;1885;4997;2671;7;2109;122;10669;9775;1810;4988;2972;5;2230
9672;    Bad Kissingen (Lkr);75;4719;4241;872;2408;933;28;823;76;4823;4401;932;2423;1023;23;842;77;4827;4416;871;2540;980;25;861;77;4968;4524;929;2561;1010;24;913;77;5104;4710;1026;2621;1044;19;970;81;5414;4862;1032;2658;1156;16;1038
9673;    Rhön-Grabfeld (Lkr);73;4809;3943;901;2008;1025;9;806;76;4972;4107;896;2088;1118;5;849;76;5006;4145;833;2170;1140;2;860;76;5123;4307;943;2121;1232;11;890;78;5438;4513;1001;2156;1350;6;920;85;5737;4695;1011;2190;1486;8;973
9674;    Haßberge (Lkr);64;3754;3553;808;2182;551;12;748;65;4044;3738;869;2272;580;17;786;65;4198;3797;864;2319;603;11;810;66;4320;3926;933;2342;645;6;853;68;4465;4053;999;2332;718;4;908;71;4532;4038;1012;2313;705;8;953
9675;    Kitzingen (Lkr);72;4425;4086;900;2361;824;1;903;74;4608;4270;970;2472;820;8;966;74;4761;4423;970;2547;903;3;996;73;4992;4565;1061;2565;936;3;1020;74;5222;4648;1097;2576;973;2;1067;76;5283;4669;1130;2575;962;2;1091
9676;    Miltenberg (Lkr);67;5977;5424;1062;3325;1015;22;1075;66;6118;5585;1131;3408;1024;22;1104;67;6255;5649;1109;3471;1043;26;1142;71;6512;5849;1227;3465;1128;29;1204;73;6691;6036;1260;3574;1186;16;1269;75;6780;6166;1265;3627;1257;17;1314
