Allgemein bildende Schulen und Wirtschaftsschulen 2023/24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
92;  Niederbayern;385;368;17;4501;898;3190;67316;35055;13843;38;24;14;979;214;495;5682;3543;1085;41;28;13;1719;613;944;23268;11399;1746;–;–;–;–;–;–;–;–;–;7;4;3;139;58;78;1582;851;277;37;28;9;2035;907;909;24763;11482;1764;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;1;–;1;14;4;8;207;103;6;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;509;452;57;9387;2694;5624;122818;62433;18721
93;  Oberpfalz;334;319;15;3831;772;2660;57988;30030;10541;32;22;10;760;182;406;4452;2792;997;34;26;8;1402;455;753;18538;9104;1255;–;–;–;–;–;–;–;–;–;8;6;2;145;69;84;1612;918;198;33;28;5;1933;868;852;23487;11142;1383;1;–;1;–;–;2;66;33;19;–;–;–;–;–;–;–;–;–;1;–;1;14;3;10;226;109;3;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;443;401;42;8085;2349;4767;106369;54128;14396
94;  Oberfranken;312;301;11;3512;691;2501;52446;26880;8981;32;3;29;802;168;438;4562;2854;767;27;25;2;1198;438;631;15473;7847;945;–;–;–;–;–;–;–;–;–;9;6;3;133;55;77;1494;813;228;36;34;2;2048;906;890;24460;11473;1433;2;–;2;3;3;4;40;23;5;1;1;–;97;34;47;1072;530;41;3;–;3;56;18;32;680;307;14;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;422;370;52;7849;2313;4620;100227;50727;12414
95;  Mittelfranken;391;361;30;6320;1139;4470;95504;49298;21161;52;28;24;1469;315;882;9449;5942;2216;42;31;11;1944;713;1047;26568;13690;2701;–;–;–;–;–;–;–;–;–;12;11;1;275;137;153;3343;1796;634;57;51;6;3759;1630;1602;45134;21800;3648;3;2;1;36;11;19;532;264;127;–;–;–;–;–;–;–;–;–;3;–;3;154;57;82;1871;888;71;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;560;484;76;13957;4002;8255;182401;93678;30558
96;  Unterfranken;363;345;18;4466;835;3244;66755;34383;11703;44;11;33;1206;259;643;6647;4170;1127;45;35;10;1709;579;934;22687;11499;1630;–;–;–;–;–;–;–;–;–;7;3;4;130;58;71;1487;804;207;44;38;6;2462;1074;1049;29408;13936;1630;2;1;1;30;14;11;282;119;111;–;–;–;–;–;–;–;–;–;2;–;2;59;21;29;745;369;5;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;507;433;74;10062;2840;5981;128011;65280;16413
97;  Schwaben;489;467;22;6993;1241;5070;105865;54602;21621;48;23;25;1486;307;820;8490;5373;1766;60;41;19;2475;848;1336;34190;16954;2853;–;–;–;–;–;–;–;–;–;11;7;4;211;88;119;2436;1299;360;57;45;12;3253;1462;1470;41194;19631;2805;2;2;–;38;19;15;382;191;204;–;–;–;–;–;–;–;–;–;3;–;3;68;27;40;868;425;26;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;670;585;85;14524;3992;8870;193425;98475;29635
9161;    Ingolstadt (Krfr.St);25;23;2;542;79;359;7861;4072;2120;4;3;1;133;25;72;830;513;226;4;2;2;173;53;96;2389;1145;268;–;–;–;–;–;–;–;–;–;1;–;1;35;11;19;402;193;55;7;4;3;382;161;174;4844;2355;518;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;41;32;9;1265;329;720;16326;8278;3187
9162;    München, Landeshauptstadt;211;185;26;4209;638;2973;64504;32618;16987;32;20;12;1104;204;596;6401;3900;1725;38;24;14;1347;478;629;16494;8233;3048;2;–;2;101;29;51;610;376;27;8;4;4;137;66;70;1424;764;245;58;42;16;3852;1480;1540;43712;21003;4545;3;3;–;40;15;14;372;179;98;1;1;–;103;42;37;960;507;199;3;–;3;123;43;59;1546;705;46;1;1;–;50;19;20;559;274;125;–;–;–;–;–;–;–;–;–;357;280;77;11066;3014;5989;136582;68559;27045
9163;    Rosenheim (Krfr.St);12;12;–;215;59;156;3257;1714;950;2;1;1;69;14;36;389;239;94;2;2;–;102;33;54;1416;595;172;–;–;–;–;–;–;–;–;–;1;–;1;18;6;9;147;88;16;3;3;–;231;113;97;2915;1354;183;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;1;–;1;26;8;14;328;174;9;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;21;18;3;661;233;366;8452;4164;1424
9171;    Altötting (Lkr);34;31;3;459;87;332;6766;3455;1444;3;1;2;81;20;49;528;343;124;3;1;2;159;53;88;2282;1107;200;–;–;–;–;–;–;–;–;–;1;1;–;6;1;4;80;37;27;4;3;1;186;76;87;2257;1016;204;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;1;–;1;9;3;7;125;67;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;46;37;9;900;240;567;12038;6025;1999
9172;    Berchtesgadener Land (Lkr);26;25;1;336;85;253;5466;2899;1215;5;1;4;72;30;43;457;287;113;4;1;3;134;55;79;1920;924;182;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;4;3;1;196;94;85;2388;1176;341;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;39;30;9;738;264;460;10231;5286;1851
9173;    Bad Tölz-Wolfratshausen (Lkr);35;30;5;458;87;310;6999;3710;1211;3;2;1;86;18;42;497;311;131;5;3;2;186;61;107;2623;1271;217;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;7;3;4;300;121;123;3355;1621;213;1;–;1;–;–;1;9;8;–;–;–;–;–;–;–;–;–;–;1;–;1;25;11;14;273;134;13;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;52;38;14;1055;298;597;13756;7055;1785
9174;    Dachau (Lkr);33;29;4;684;114;433;9631;4916;2221;3;1;2;92;15;48;511;337;117;4;2;2;193;55;104;2692;1361;223;–;–;–;–;–;–;–;–;–;1;–;1;18;11;11;278;152;9;3;3;–;276;109;128;3882;1966;262;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;44;35;9;1263;304;724;16994;8732;2832
9175;    Ebersberg (Lkr);31;30;1;505;64;363;7861;4046;1365;4;2;2;101;20;53;601;366;136;4;4;–;222;67;122;3190;1753;311;1;–;1;18;6;7;65;54;3;–;–;–;–;–;–;–;–;–;4;4;–;355;128;160;4856;2416;346;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;1;–;1;28;16;15;405;240;15;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;45;40;5;1229;301;720;16978;8875;2176
9176;    Eichstätt (Lkr);45;41;4;511;97;387;8172;4271;1173;2;1;1;61;14;29;334;223;37;4;2;2;193;74;115;2970;1537;112;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;4;4;–;224;110;105;2906;1405;188;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;55;48;7;989;295;636;14382;7436;1510
9177;    Erding (Lkr);42;41;1;526;93;385;8306;4369;1389;3;2;1;79;13;43;507;330;104;4;3;1;192;71;113;2837;1280;199;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;3;3;–;240;103;113;3214;1553;264;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;52;49;3;1037;280;654;14864;7532;1956
9178;    Freising (Lkr);40;38;2;592;89;439;9341;4811;2074;3;1;2;117;15;62;675;432;188;5;5;–;227;75;123;3199;1696;320;–;–;–;–;–;–;–;–;–;1;1;–;33;16;18;382;189;105;5;5;–;326;116;148;4129;2015;379;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;54;50;4;1295;311;790;17726;9143;3066
9179;    Fürstenfeldbruck (Lkr);45;43;2;758;117;547;11779;6002;2683;3;2;1;102;8;50;572;353;161;4;4;–;264;74;145;3856;1948;420;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;7;7;–;536;204;238;7217;3536;488;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;1;–;1;34;12;13;433;193;14;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;60;56;4;1694;415;993;23857;12032;3766
9180;    Garmisch-Partenkirchen (Lkr);27;27;–;266;58;192;4044;2129;790;4;1;3;62;6;42;471;255;44;3;2;1;107;38;60;1418;677;121;–;–;–;–;–;–;–;–;–;1;1;–;17;7;11;208;131;38;4;2;2;190;82;80;2149;1011;138;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;39;33;6;642;191;385;8290;4203;1131
9181;    Landsberg am Lech (Lkr);29;27;2;452;64;306;6659;3422;933;2;1;1;96;17;49;548;344;116;4;3;1;178;47;100;2585;1325;139;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;6;3;3;280;115;126;3380;1650;176;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;1;–;1;31;12;14;393;183;6;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;42;34;8;1037;255;595;13565;6924;1370
9182;    Miesbach (Lkr);28;26;2;320;54;232;4949;2583;779;3;1;2;65;11;35;408;252;55;3;3;–;156;57;87;2233;1133;143;–;–;–;–;–;–;–;–;–;1;–;1;18;9;12;216;153;16;4;3;1;215;108;95;2848;1395;145;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;39;33;6;774;239;461;10654;5516;1138
9183;    Mühldorf a.Inn (Lkr);32;31;1;447;97;339;6960;3656;1409;2;1;1;71;16;40;441;277;86;2;2;–;126;36;69;1788;911;120;–;–;–;–;–;–;–;–;–;1;–;1;19;9;11;258;128;27;3;3;–;190;89;92;2444;1164;165;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;40;37;3;853;247;551;11891;6136;1807
9184;    München (Lkr);64;60;4;1162;147;850;18621;9641;3926;5;3;2;141;22;73;787;513;210;6;5;1;304;91;175;4278;2400;651;1;–;1;15;3;6;72;39;8;–;–;–;–;–;–;–;–;–;17;15;2;1224;449;563;16257;8288;1382;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;1;–;1;28;13;14;383;192;5;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;94;83;11;2874;725;1681;40398;21073;6182
9185;    Neuburg-Schrobenhausen (Lkr);26;25;1;347;47;254;5463;2829;1039;2;1;1;70;12;43;474;287;100;4;2;2;166;66;96;2541;1206;177;–;–;–;–;–;–;–;–;–;1;1;–;49;13;26;495;222;102;2;2;–;144;55;67;1881;885;105;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;35;31;4;776;193;486;10854;5429;1523
9186;    Pfaffenhofen a.d.Ilm (Lkr);33;32;1;475;76;353;7601;3927;1300;4;–;4;88;12;53;561;355;137;3;3;–;192;57;105;2724;1412;191;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;2;2;–;144;60;69;1890;885;96;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;42;37;5;899;205;580;12776;6579;1724
9187;    Rosenheim (Lkr);75;69;6;918;173;681;14340;7497;2082;7;4;3;155;33;87;987;569;164;8;6;2;314;98;166;4091;2154;303;–;–;–;–;–;–;–;–;–;1;1;–;36;19;20;487;247;33;6;5;1;363;163;158;4505;2191;281;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;1;–;1;50;17;25;614;309;13;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;98;85;13;1836;503;1137;25024;12967;2876
9188;    Starnberg (Lkr);29;24;5;608;94;363;8040;4131;1739;3;1;2;72;8;32;340;188;64;3;2;1;168;63;93;2455;1279;230;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;6;5;1;383;162;179;5127;2551;336;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;41;32;9;1231;327;667;15962;8149;2369
9189;    Traunstein (Lkr);54;50;4;634;153;458;9671;5080;1522;3;1;2;108;27;61;665;436;150;5;4;1;228;84;122;3100;1469;165;–;–;–;–;–;–;–;–;–;1;–;1;19;8;9;162;96;16;7;6;1;363;180;157;4145;1948;291;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;70;61;9;1352;452;807;17743;9029;2144
9190;    Weilheim-Schongau (Lkr);39;37;2;507;104;356;8142;4210;1199;5;3;2;105;29;56;605;396;104;4;4;–;180;62;101;2479;1272;209;–;–;–;–;–;–;–;–;–;1;–;1;8;3;6;67;34;7;4;3;1;220;90;107;2962;1467;169;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;1;–;1;18;4;11;254;111;2;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;54;47;7;1038;292;637;14509;7490;1690
9261;    Landshut (Krfr.St);11;10;1;238;48;173;3676;1942;1262;3;2;1;83;21;48;496;262;97;2;1;1;112;37;61;1458;556;182;–;–;–;–;–;–;–;–;–;2;1;1;55;22;29;611;323;99;3;2;1;209;84;87;2516;1135;253;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;1;–;1;14;4;8;207;103;6;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;22;16;6;711;216;406;8964;4321;1899
9262;    Passau (Krfr.St);11;10;1;180;23;119;2408;1235;811;3;1;2;83;17;42;488;311;99;2;1;1;69;21;37;909;352;156;–;–;–;–;–;–;–;–;–;1;1;–;24;7;11;237;127;91;4;2;2;181;84;73;2001;814;195;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;21;15;6;537;152;282;6043;2839;1352
9263;    Straubing (Krfr.St);10;10;–;171;42;117;2352;1205;856;5;3;2;150;32;82;896;516;156;2;1;1;71;26;45;1054;472;88;–;–;–;–;–;–;–;–;–;2;–;2;22;9;17;301;152;27;4;3;1;218;97;95;2497;1136;195;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;23;17;6;632;206;356;7100;3481;1322
9271;    Deggendorf (Lkr);35;34;1;405;79;292;6117;3163;1135;3;2;1;83;14;41;477;306;87;4;3;1;162;59;87;2086;955;158;–;–;–;–;–;–;–;–;–;1;1;–;34;18;18;395;229;56;4;2;2;233;115;101;2749;1334;181;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;47;42;5;917;285;539;11824;5987;1617
9272;    Freyung-Grafenau (Lkr);30;29;1;260;47;190;3931;2038;517;3;2;1;49;12;24;308;180;37;2;2;–;80;29;46;1062;539;30;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;3;3;–;127;61;57;1536;728;62;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;38;36;2;516;149;317;6837;3485;646
9273;    Kelheim (Lkr);35;34;1;489;102;330;7064;3691;1742;3;1;2;89;26;51;570;369;146;4;3;1;189;61;97;2540;1208;177;–;–;–;–;–;–;–;–;–;1;1;–;4;2;3;38;20;4;3;2;1;166;78;82;2263;1054;149;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;46;41;5;937;269;563;12475;6342;2218
9274;    Landshut (Lkr);49;47;2;597;110;451;9644;4982;1590;3;3;–;85;15;35;429;279;57;5;4;1;232;88;133;3314;1908;261;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;3;2;1;183;82;86;2426;1156;112;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;60;56;4;1097;295;705;15813;8325;2020
9275;    Passau (Lkr);65;59;6;751;149;521;10790;5632;2018;4;2;2;96;21;46;516;353;106;7;3;4;232;86;129;3249;1706;215;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;4;3;1;226;98;104;2810;1320;216;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;80;67;13;1305;354;800;17365;9011;2555
9276;    Regen (Lkr);31;30;1;268;71;193;4005;2108;630;3;2;1;58;10;28;322;201;58;3;3;–;119;47;63;1531;815;81;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;2;2;–;95;44;44;1131;526;43;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;39;37;2;540;172;328;6989;3650;812
9277;    Rottal-Inn (Lkr);41;40;1;418;71;295;6597;3461;1307;3;2;1;77;20;41;494;298;90;4;4;–;206;72;114;2719;1349;201;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;3;3;–;169;76;77;2043;948;178;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;51;49;2;870;239;527;11853;6056;1776
9278;    Straubing-Bogen (Lkr);42;41;1;357;68;255;5220;2682;845;2;2;–;56;10;24;322;217;73;3;1;2;99;37;53;1335;545;58;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;2;2;–;99;41;44;1192;562;46;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;49;46;3;611;156;376;8069;4006;1022
9279;    Dingolfing-Landau (Lkr);25;24;1;367;88;254;5512;2916;1130;3;2;1;70;16;33;364;251;79;3;2;1;148;50;79;2011;994;139;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;2;2;–;129;47;59;1599;769;134;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;33;30;3;714;201;425;9486;4930;1482
9361;    Amberg (Krfr.St);9;8;1;146;36;103;2221;1115;592;2;1;1;62;17;38;398;253;94;2;1;1;87;36;51;1275;584;74;–;–;–;–;–;–;–;–;–;1;1;–;30;19;18;428;248;60;4;3;1;169;73;73;1886;843;115;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;18;14;4;494;181;283;6208;3043;935
9362;    Regensburg (Krfr.St);28;22;6;549;122;355;7485;3848;2320;7;3;4;249;61;134;1333;845;376;5;2;3;189;59;99;2418;995;290;–;–;–;–;–;–;–;–;–;2;–;2;32;19;19;355;187;21;9;5;4;568;241;229;6465;3136;502;1;–;1;–;–;2;66;33;19;–;–;–;–;–;–;–;–;–;1;–;1;14;3;10;226;109;3;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;53;32;21;1601;505;848;18348;9153;3531
