Straßenverkehrsunfälle seit 2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
93;  Oberpfalz;5377;4537;2420;2117;6212;54;6158;840;5250;4366;2316;2050;5942;52;5890;884;4463;3745;2054;1691;4874;47;4827;718;4466;3682;1973;1709;4910;51;4859;784;4795;3955;2218;1737;5201;41;5160;840;4999;4150;2336;1814;5492;57;5435;849
94;  Oberfranken;5287;4180;2412;1768;5590;56;5534;1107;5323;4121;2408;1713;5419;44;5375;1202;4338;3438;2087;1351;4317;34;4283;900;4504;3366;1948;1418;4292;25;4267;1138;4970;3817;2233;1584;4870;50;4820;1153;4751;3699;2222;1477;4754;32;4722;1052
95;  Mittelfranken;8594;7210;4842;2368;9460;74;9386;1384;8324;6954;4648;2306;9021;67;8954;1370;7284;6184;4325;1859;7606;51;7555;1100;7210;5951;4102;1849;7439;67;7372;1259;7814;6612;4654;1958;8202;60;8142;1202;7667;6519;4542;1977;8198;58;8140;1148
96;  Unterfranken;5964;4712;2657;2055;6170;62;6108;1252;5868;4562;2474;2088;5981;55;5926;1306;5058;4043;2279;1764;5093;45;5048;1015;5050;3969;2200;1769;5024;50;4974;1081;5313;4265;2486;1779;5479;55;5424;1048;5259;4150;2480;1670;5288;54;5234;1109
97;  Schwaben;10047;8417;5513;2904;10857;80;10777;1630;9658;8038;5329;2709;10449;69;10380;1620;8592;7261;4819;2442;9013;71;8942;1331;8601;7101;4497;2604;8908;67;8841;1500;9222;7796;5255;2541;9707;82;9625;1426;9285;7877;5273;2604;9848;87;9761;1408
9161;    Ingolstadt (Krfr.St);871;743;646;97;910;2;908;128;886;743;642;101;889;3;886;143;714;612;560;52;730;5;725;102;663;562;500;62;683;2;681;101;848;734;669;65;862;3;859;114;854;740;670;70;886;4;882;114
9162;    München, Landeshauptstadt;6471;5715;5431;284;6905;19;6886;756;6233;5522;5296;226;6547;16;6531;711;5699;5076;4895;181;5940;19;5921;623;5548;4949;4799;150;5722;9;5713;599;6125;5481;5280;201;6426;16;6410;644;6125;5488;5291;197;6468;9;6459;637
9163;    Rosenheim (Krfr.St);423;361;350;11;430;2;428;62;444;388;371;17;459;2;457;56;368;329;318;11;378;2;376;39;392;359;344;15;415;3;412;33;410;370;348;22;425;1;424;40;380;340;315;25;404;1;403;40
9171;    Altötting (Lkr);617;514;268;246;680;8;672;103;566;448;220;228;657;7;650;118;496;405;201;204;530;8;522;91;559;456;240;216;597;10;587;103;521;429;230;199;556;12;544;92;521;421;224;197;552;6;546;100
9172;    Berchtesgadener Land (Lkr);587;506;231;275;694;11;683;81;628;536;274;262;732;4;728;92;532;460;215;245;577;4;573;72;500;423;201;222;543;8;535;77;548;462;219;243;597;8;589;86;622;550;280;270;738;6;732;72
9173;    Bad Tölz-Wolfratshausen (Lkr);744;614;297;317;826;11;815;130;688;556;271;285;742;13;729;132;675;558;269;289;692;12;680;117;691;575;277;298;738;6;732;116;625;512;262;250;674;4;670;113;611;516;233;283;678;8;670;95
9174;    Dachau (Lkr);778;649;423;226;884;8;876;129;763;628;389;239;835;4;831;135;652;543;329;214;718;10;708;109;605;508;340;168;636;4;632;97;623;524;335;189;682;8;674;99;686;550;369;181;684;5;679;136
9175;    Ebersberg (Lkr);618;470;250;220;616;9;607;148;564;456;235;221;635;12;623;108;527;428;258;170;540;6;534;99;505;399;221;178;514;2;512;106;561;464;273;191;599;5;594;97;567;452;244;208;575;2;573;115
9176;    Eichstätt (Lkr);708;571;210;361;792;11;781;137;661;509;204;305;667;8;659;152;532;430;173;257;558;10;548;102;542;440;179;261;592;5;587;102;547;429;196;233;562;3;559;118;586;463;198;265;616;4;612;123
9177;    Erding (Lkr);687;563;290;273;785;9;776;124;656;530;260;270;749;7;742;126;547;462;245;217;595;3;592;85;596;460;247;213;644;7;637;136;695;575;344;231;724;5;719;120;649;536;279;257;707;7;700;113
9178;    Freising (Lkr);936;753;404;349;997;6;991;183;859;698;383;315;919;6;913;161;701;569;308;261;778;4;774;132;746;598;361;237;772;2;770;148;776;657;370;287;818;5;813;119;763;642;354;288;796;8;788;121
9179;    Fürstenfeldbruck (Lkr);851;713;496;217;872;5;867;138;834;722;508;214;926;5;921;112;807;681;512;169;814;3;811;126;747;637;462;175;781;2;779;110;756;659;483;176;808;4;804;97;838;711;532;179;871;5;866;127
9180;    Garmisch-Partenkirchen (Lkr);555;441;260;181;605;7;598;114;472;380;229;151;484;7;477;92;464;392;231;161;480;4;476;72;446;382;233;149;475;8;467;64;496;431;281;150;536;7;529;65;559;475;285;190;578;4;574;84
9181;    Landsberg am Lech (Lkr);661;542;241;301;720;6;714;119;651;536;241;295;706;5;701;115;594;491;261;230;626;10;616;103;539;418;192;226;545;2;543;121;596;490;266;224;649;5;644;106;584;483;222;261;623;4;619;101
9182;    Miesbach (Lkr);571;471;253;218;625;6;619;100;606;501;275;226;665;6;659;105;571;482;273;209;604;11;593;89;570;490;276;214;640;7;633;80;582;483;286;197;606;6;600;99;561;458;264;194;620;3;617;103
9183;    Mühldorf a.Inn (Lkr);572;463;190;273;660;11;649;109;517;397;160;237;561;8;553;120;474;377;180;197;489;5;484;97;524;426;197;229;583;6;577;98;526;420;223;197;545;8;537;106;553;450;249;201;590;13;577;103
9184;    München (Lkr);1531;1271;716;555;1639;11;1628;260;1364;1123;643;480;1444;13;1431;241;1259;1076;675;401;1354;8;1346;183;1245;1030;618;412;1340;6;1334;215;1364;1151;704;447;1500;9;1491;213;1290;1072;642;430;1377;6;1371;218
9185;    Neuburg-Schrobenhausen (Lkr);497;414;244;170;551;9;542;83;437;369;198;171;472;11;461;68;413;341;210;131;424;3;421;72;412;334;212;122;401;5;396;78;474;408;266;142;505;4;501;66;440;387;262;125;499;3;496;53
9186;    Pfaffenhofen a.d.Ilm (Lkr);650;502;211;291;722;5;717;148;736;591;225;366;855;5;850;145;595;492;212;280;646;5;641;103;596;486;212;274;655;8;647;110;601;486;226;260;649;10;639;115;713;569;254;315;806;8;798;144
9187;    Rosenheim (Lkr);1389;1189;609;580;1579;15;1564;200;1316;1121;590;531;1495;13;1482;195;1262;1079;553;526;1382;13;1369;183;1268;1079;560;519;1387;15;1372;189;1416;1202;620;582;1563;12;1551;214;1319;1114;540;574;1459;17;1442;205
9188;    Starnberg (Lkr);662;566;317;249;700;5;695;96;653;535;313;222;670;4;666;118;632;542;318;224;638;5;633;90;618;508;313;195;618;3;615;110;601;509;312;197;595;4;591;92;618;515;302;213;607;3;604;103
9189;    Traunstein (Lkr);1087;889;404;485;1228;12;1216;198;994;846;370;476;1100;14;1086;148;889;774;386;388;1045;14;1031;115;897;759;348;411;963;10;953;138;962;814;399;415;1070;13;1057;148;1017;855;434;421;1087;10;1077;162
9190;    Weilheim-Schongau (Lkr);795;641;355;286;882;15;867;154;650;521;289;232;696;11;685;129;694;582;325;257;745;5;740;112;653;529;272;257;669;4;665;124;739;623;364;259;829;11;818;116;708;600;317;283;798;8;790;108
9261;    Landshut (Krfr.St);512;446;406;40;552;–;552;66;488;443;408;35;565;–;565;45;399;345;321;24;431;2;429;54;374;334;312;22;408;1;407;40;438;387;361;26;454;1;453;51;415;358;333;25;416;5;411;57
9262;    Passau (Krfr.St);285;238;175;63;311;1;310;47;286;246;181;65;336;–;336;40;221;180;117;63;241;–;241;41;235;198;142;56;271;1;270;37;278;225;169;56;290;–;290;53;300;248;183;65;328;4;324;52
9263;    Straubing (Krfr.St);268;236;195;41;294;1;293;32;263;228;195;33;285;–;285;35;237;205;181;24;234;1;233;32;259;221;195;26;252;1;251;38;307;257;230;27;302;2;300;50;298;262;222;40;299;1;298;36
9271;    Deggendorf (Lkr);667;538;284;254;758;6;752;129;654;535;291;244;733;10;723;119;515;455;265;190;614;9;605;60;559;468;238;230;622;6;616;91;531;459;241;218;624;5;619;72;546;455;249;206;593;3;590;91
9272;    Freyung-Grafenau (Lkr);324;282;86;196;388;5;383;42;273;236;70;166;355;5;350;37;255;225;71;154;307;3;304;30;254;216;56;160;306;1;305;38;305;257;84;173;353;9;344;48;325;273;94;179;401;4;397;52
9273;    Kelheim (Lkr);668;523;224;299;692;9;683;145;593;496;239;257;654;2;652;97;541;438;209;229;568;10;558;103;537;427;204;223;594;8;586;110;585;484;255;229;629;6;623;101;568;470;231;239;640;3;637;98
9274;    Landshut (Lkr);819;686;290;396;968;20;948;133;799;654;264;390;911;8;903;145;617;510;203;307;668;7;661;107;653;536;238;298;710;7;703;117;669;538;253;285;679;6;673;131;659;555;266;289;730;8;722;104
9275;    Passau (Lkr);959;810;293;517;1193;17;1176;149;865;725;265;460;1009;14;995;140;670;578;210;368;788;11;777;92;723;603;227;376;815;6;809;120;771;658;236;422;859;13;846;113;786;660;211;449;932;12;920;126
9276;    Regen (Lkr);363;309;109;200;416;7;409;54;361;319;113;206;433;9;424;42;291;243;96;147;314;3;311;48;301;251;105;146;339;3;336;50;324;275;84;191;397;5;392;49;281;241;88;153;333;6;327;40
9277;    Rottal-Inn (Lkr);536;453;188;265;609;10;599;83;510;436;176;260;592;7;585;74;400;346;137;209;462;7;455;54;440;352;145;207;464;6;458;88;498;422;191;231;565;12;553;76;456;393;174;219;553;11;542;63
9278;    Straubing-Bogen (Lkr);475;399;108;291;549;10;539;76;413;360;118;242;514;7;507;53;392;320;124;196;427;10;417;72;378;307;84;223;387;3;384;71;406;345;100;245;471;7;464;61;451;373;123;250;521;4;517;78
9279;    Dingolfing-Landau (Lkr);498;425;184;241;598;3;595;73;427;367;157;210;516;8;508;60;396;320;141;179;423;4;419;76;418;360;158;202;472;6;466;58;417;329;152;177;438;2;436;88;466;393;197;196;513;6;507;73
9361;    Amberg (Krfr.St);237;213;197;16;267;2;265;24;229;193;175;18;245;1;244;36;177;154;140;14;193;–;193;23;165;143;128;15;184;1;183;22;196;164;146;18;196;1;195;32;230;192;173;19;219;–;219;38
9362;    Regensburg (Krfr.St);967;863;800;63;1076;2;1074;104;931;824;775;49;1027;2;1025;107;710;622;577;45;722;2;720;88;769;690;637;53;862;8;854;79;837;755;718;37;898;1;897;82;903;806;755;51;940;6;934;97
9363;    Weiden i.d.OPf. (Krfr.St);276;237;177;60;302;1;301;39;289;237;187;50;296;2;294;52;243;207;164;43;271;2;269;36;194;163;125;38;199;1;198;31;262;213;166;47;258;1;257;49;242;208;168;40;264;3;261;34
9371;    Amberg-Sulzbach (Lkr);419;356;123;233;486;7;479;63;409;334;125;209;473;6;467;75;355;294;128;166;384;4;380;61;369;307;124;183;400;5;395;62;367;286;126;160;404;2;402;81;378;297;127;170;410;7;403;81
9372;    Cham (Lkr);574;488;185;303;716;8;708;86;550;465;160;305;682;8;674;85;515;429;196;233;605;11;594;86;510;422;163;259;584;5;579;88;543;454;179;275;639;12;627;89;559;473;220;253;669;8;661;86
9373;    Neumarkt i.d.OPf. (Lkr);640;512;253;259;669;8;661;128;629;504;220;284;683;4;679;125;573;485;220;265;628;5;623;88;571;454;198;256;609;6;603;117;583;478;236;242;644;9;635;105;602;486;228;258;663;9;654;116
9374;    Neustadt a.d.Waldnaab (Lkr);387;311;84;227;448;5;443;76;429;341;107;234;468;5;463;88;334;265;92;173;352;5;347;69;321;251;93;158;361;4;357;70;364;281;103;178;367;4;363;83;366;296;104;192;398;6;392;70
9375;    Regensburg (Lkr);908;753;280;473;1089;10;1079;155;761;626;215;411;906;15;891;135;748;624;261;363;820;10;810;124;635;528;211;317;711;6;705;107;761;623;268;355;840;5;835;138;780;661;269;392;918;7;911;119
9376;    Schwandorf (Lkr);683;572;248;324;824;6;818;111;714;593;243;350;841;5;836;121;582;486;224;262;674;3;671;96;661;512;217;295;716;10;706;149;627;499;212;287;696;5;691;128;652;501;208;293;690;6;684;151
9377;    Tirschenreuth (Lkr);286;232;73;159;335;5;330;54;309;249;109;140;321;4;317;60;226;179;52;127;225;5;220;47;271;212;77;135;284;5;279;59;255;202;64;138;259;1;258;53;287;230;84;146;321;5;316;57
9461;    Bamberg (Krfr.St);492;434;402;32;518;2;516;58;486;416;389;27;508;1;507;70;396;335;317;18;394;2;392;61;395;349;324;25;393;–;393;46;447;389;370;19;447;–;447;58;486;427;402;25;508;2;506;59
9462;    Bayreuth (Krfr.St);441;379;328;51;467;1;466;62;388;325;290;35;413;–;413;63;321;270;236;34;360;1;359;51;319;286;249;37;355;2;353;33;357;289;258;31;366;2;364;68;379;308;270;38;401;1;400;71
9463;    Coburg (Krfr.St);205;157;139;18;200;2;198;48;222;173;151;22;213;1;212;49;226;187;165;22;223;–;223;39;175;129;109;20;160;–;160;46;205;170;143;27;202;–;202;35;190;162;144;18;206;–;206;28
9464;    Hof (Krfr.St);217;178;164;14;236;–;236;39;293;225;199;26;292;–;292;68;244;202;182;20;237;1;236;42;185;141;129;12;175;1;174;44;229;180;167;13;219;1;218;49;219;181;168;13;234;–;234;38
9471;    Bamberg (Lkr);666;535;234;301;727;9;718;131;699;527;227;300;720;5;715;172;559;435;213;222;557;5;552;124;586;445;187;258;562;4;558;141;674;518;222;296;678;6;672;156;637;479;224;255;588;8;580;158
9472;    Bayreuth (Lkr);535;417;110;307;618;9;609;118;563;428;126;302;599;12;587;135;450;346;106;240;441;3;438;104;423;277;80;197;359;4;355;146;549;373;84;289;539;11;528;176;468;324;96;228;452;5;447;144
9473;    Coburg (Lkr);343;253;120;133;341;1;340;90;353;273;135;138;348;3;345;80;248;187;100;87;241;4;237;61;332;236;121;115;322;1;321;96;361;273;145;128;348;4;344;88;340;256;121;135;339;4;335;84
9474;    Forchheim (Lkr);567;477;252;225;608;6;602;90;561;459;261;198;591;7;584;102;484;411;222;189;498;2;496;73;480;394;215;179;494;5;489;86;486;401;243;158;490;3;487;85;468;398;217;181;499;2;497;70
9475;    Hof (Lkr);558;384;145;239;572;6;566;174;511;365;133;232;513;6;507;146;407;290;131;159;380;7;373;117;489;331;125;206;454;3;451;158;477;324;117;207;447;9;438;153;429;291;110;181;396;1;395;138
9476;    Kronach (Lkr);275;220;134;86;287;4;283;55;220;174;111;63;226;2;224;46;208;171;86;85;220;2;218;37;217;149;82;67;183;–;183;68;242;193;109;84;245;5;240;49;233;181;105;76;239;1;238;52
9477;    Kulmbach (Lkr);347;270;115;155;363;8;355;77;364;258;116;142;356;2;354;106;260;199;82;117;259;4;255;61;324;230;100;130;295;2;293;94;335;257;113;144;338;2;336;78;300;231;99;132;306;2;304;69
9478;    Lichtenfels (Lkr);310;248;150;98;348;5;343;62;319;252;146;106;323;3;320;67;257;207;127;80;260;1;259;50;293;217;120;97;283;2;281;76;304;235;140;95;285;3;282;69;302;236;140;96;306;3;303;66
9479;    Wunsiedel i.Fichtelgebirge (Lkr);331;228;119;109;305;3;302;103;344;246;124;122;317;2;315;98;278;198;120;78;247;2;245;80;286;182;107;75;257;1;256;104;304;215;122;93;266;4;262;89;300;225;126;99;280;3;277;75
9561;    Ansbach (Krfr.St);257;201;134;67;270;4;266;56;255;205;148;57;279;–;279;50;240;194;145;49;242;1;241;46;218;164;114;50;198;2;196;54;230;198;142;56;256;3;253;32;255;213;143;70;262;2;260;42
9562;    Erlangen (Krfr.St);692;599;514;85;687;1;686;93;729;619;497;122;737;1;736;110;563;491;413;78;578;1;577;72;506;421;352;69;485;2;483;85;602;523;449;74;593;2;591;79;640;569;469;100;661;1;660;71
9563;    Fürth (Krfr.St);466;400;368;32;477;2;475;66;468;410;383;27;485;1;484;58;478;413;397;16;492;1;491;65;457;404;381;23;472;1;471;53;490;431;405;26;520;–;520;59;451;412;386;26;477;–;477;39
9564;    Nürnberg (Krfr.St);2674;2354;2237;117;2968;7;2961;320;2364;2128;2023;105;2586;10;2576;236;2132;1928;1856;72;2288;8;2280;204;2158;1943;1866;77;2302;5;2297;215;2351;2163;2079;84;2540;9;2531;188;2236;2009;1930;79;2434;6;2428;227
9565;    Schwabach (Krfr.St);218;190;135;55;253;–;253;28;215;175;137;38;226;3;223;40;176;145;121;24;183;3;180;31;171;138;104;34;173;1;172;33;156;131;105;26;158;–;158;25;182;142;107;35;186;2;184;40
9571;    Ansbach (Lkr);908;748;262;486;1041;19;1022;160;922;758;253;505;1060;11;1049;164;751;612;238;374;799;8;791;139;854;657;224;433;905;21;884;197;857;678;280;398;898;9;889;179;885;730;292;438;1000;18;982;155
9572;    Erlangen-Höchstadt (Lkr);613;481;215;266;649;3;646;132;637;506;246;260;692;13;679;131;486;390;197;193;474;1;473;96;476;367;187;180;478;3;475;109;586;451;230;221;598;4;594;135;579;471;231;240;631;5;626;108
9573;    Fürth (Lkr);370;295;196;99;408;8;400;75;344;272;173;99;337;2;335;72;374;317;208;109;379;4;375;57;316;271;181;90;316;1;315;45;363;297;200;97;352;6;346;66;327;280;204;76;352;–;352;47
9574;    Nürnberger Land (Lkr);773;619;286;333;870;12;858;154;819;622;288;334;844;10;834;197;772;626;286;340;799;8;791;146;709;551;270;281;696;6;690;158;804;669;310;359;894;13;881;135;741;602;307;295;759;6;753;139
9575;    Neustadt a.d.Aisch-Bad Windsheim (Lkr);459;364;136;228;483;6;477;95;435;355;152;203;469;7;462;80;404;341;145;196;445;3;442;63;382;301;118;183;399;6;393;81;407;316;125;191;411;5;406;91;400;323;129;194;440;2;438;77
9576;    Roth (Lkr);745;611;204;407;884;9;875;134;678;529;187;342;773;6;767;149;541;421;168;253;549;10;539;120;555;395;153;242;546;8;538;160;577;430;163;267;558;5;553;147;556;417;163;254;543;8;535;139
9577;    Weißenburg-Gunzenhausen (Lkr);419;348;155;193;470;3;467;71;458;375;161;214;533;3;530;83;367;306;151;155;378;3;375;61;408;339;152;187;469;11;458;69;391;325;166;159;424;4;420;66;415;351;181;170;453;8;445;64
9661;    Aschaffenburg (Krfr.St);305;249;216;33;297;–;297;56;338;270;229;41;333;1;332;68;326;262;224;38;320;2;318;64;282;228;194;34;260;–;260;54;349;282;250;32;327;6;321;67;378;302;274;28;356;2;354;76
9662;    Schweinfurt (Krfr.St);323;263;249;14;307;1;306;60;362;312;286;26;383;–;383;50;268;225;210;15;275;2;273;43;271;231;217;14;272;1;271;40;271;230;222;8;276;2;274;41;314;277;261;16;327;1;326;37
9663;    Würzburg (Krfr.St);753;652;584;68;775;1;774;101;707;594;499;95;729;2;727;113;610;526;458;68;623;2;621;84;624;547;486;61;663;2;661;77;658;574;507;67;708;4;704;84;650;559;501;58;660;1;659;91
9671;    Aschaffenburg (Lkr);728;520;259;261;698;8;690;208;729;525;227;298;704;6;698;204;681;509;261;248;639;2;637;172;596;427;206;221;539;7;532;169;662;508;276;232;641;7;634;154;594;415;206;209;546;2;544;179
9672;    Bad Kissingen (Lkr);525;384;174;210;532;6;526;141;555;398;190;208;533;4;529;157;455;333;147;186;437;4;433;122;441;317;122;195;414;5;409;124;473;358;164;194;446;5;441;115;452;333;155;178;438;4;434;119
9673;    Rhön-Grabfeld (Lkr);398;324;134;190;441;7;434;74;361;283;116;167;360;7;353;78;325;263;120;143;337;3;334;62;335;253;100;153;346;4;342;82;334;261;106;155;354;4;350;73;348;263;115;148;352;6;346;85
9674;    Haßberge (Lkr);359;282;140;142;343;3;340;77;356;284;118;166;363;3;360;72;329;279;117;162;342;1;341;50;353;297;131;166;388;4;384;56;368;303;131;172;385;12;373;65;313;264;132;132;333;4;329;49
9675;    Kitzingen (Lkr);498;382;163;219;545;15;530;116;424;345;145;200;485;8;477;79;367;300;125;175;407;1;406;67;418;322;141;181;425;5;420;96;432;348;146;202;443;2;441;84;463;361;165;196;456;4;452;102
9676;    Miltenberg (Lkr);532;433;230;203;566;3;563;99;512;396;200;196;511;3;508;116;478;378;195;183;458;9;449;100;422;342;179;163;413;6;407;80;455;371;213;158;506;2;504;84;388;303;171;132;375;4;371;85
9677;    Main-Spessart (Lkr);476;383;176;207;517;4;513;93;505;381;156;225;509;7;502;124;390;308;122;186;400;6;394;82;459;358;148;210;463;8;455;101;419;330;159;171;444;4;440;89;438;345;162;183;449;10;439;93
9678;    Schweinfurt (Lkr);462;360;150;210;500;6;494;102;468;357;151;206;481;9;472;111;360;284;139;145;362;4;358;76;378;280;113;167;357;2;355;98;386;306;136;170;419;5;414;80;405;311;147;164;423;5;418;94
9679;    Würzburg (Lkr);605;480;182;298;649;8;641;125;551;417;157;260;590;5;585;134;469;376;161;215;493;9;484;93;471;367;163;204;484;6;478;104;506;394;176;218;530;2;528;112;516;417;191;226;573;11;562;99
9761;    Augsburg (Krfr.St);1734;1499;1423;76;1800;4;1796;235;1735;1528;1440;88;1850;3;1847;207;1492;1305;1249;56;1541;5;1536;187;1313;1160;1123;37;1381;5;1376;153;1535;1374;1331;43;1582;4;1578;161;1491;1340;1280;60;1558;3;1555;151
9762;    Kaufbeuren (Krfr.St);235;203;179;24;248;–;248;32;231;205;178;27;268;–;268;26;185;167;151;16;207;1;206;18;176;150;137;13;183;1;182;26;195;161;139;22;194;2;192;34;197;177;162;15;229;–;229;20
9763;    Kempten (Allgäu) (Krfr.St);453;382;353;29;492;–;492;71;397;324;305;19;437;1;436;73;326;284;267;17;352;–;352;42;361;291;267;24;354;2;352;70;407;340;315;25;435;4;431;67;409;358;330;28;451;–;451;51
9764;    Memmingen (Krfr.St);346;293;256;37;361;2;359;53;315;254;228;26;337;1;336;61;267;229;205;24;255;2;253;38;269;216;188;28;252;1;251;53;314;268;237;31;326;3;323;46;306;259;225;34;329;–;329;47
9771;    Aichach-Friedberg (Lkr);658;551;269;282;766;4;762;107;669;550;267;283;772;5;767;119;555;466;232;234;618;4;614;89;522;427;174;253;591;7;584;95;582;498;277;221;645;5;640;84;626;528;265;263;687;6;681;98
9772;    Augsburg (Lkr);1128;928;523;405;1220;9;1211;200;1071;875;480;395;1149;9;1140;196;969;829;465;364;1023;10;1013;140;942;763;420;343;968;5;963;179;1035;878;512;366;1107;11;1096;157;926;781;461;320;996;5;991;145
9773;    Dillingen a.d.Donau (Lkr);400;328;200;128;429;1;428;72;383;322;184;138;435;1;434;61;363;302;184;118;377;4;373;61;419;357;211;146;444;10;434;62;404;348;211;137;459;7;452;56;428;362;222;140;484;5;479;66
9774;    Günzburg (Lkr);592;502;255;247;716;6;710;90;598;478;278;200;641;7;634;120;559;445;238;207;608;2;606;114;558;448;239;209;605;2;603;110;593;487;274;213;637;6;631;106;621;494;290;204;607;9;598;127
9775;    Neu-Ulm (Lkr);1040;876;549;327;1143;6;1137;164;929;787;510;277;988;3;985;142;856;732;515;217;886;3;883;124;893;733;454;279;921;8;913;160;971;802;527;275;982;8;974;169;953;808;570;238;1000;11;989;145
9776;    Lindau (Bodensee) (Lkr);450;388;257;131;464;5;459;62;434;370;226;144;462;5;457;64;421;343;218;125;415;4;411;78;438;379;239;140;459;7;452;59;398;351;229;122;420;2;418;47;456;393;259;134;492;8;484;63
9777;    Ostallgäu (Lkr);744;618;334;284;837;15;822;126;728;604;332;272;809;11;798;124;683;582;283;299;741;6;735;101;739;603;293;310;753;6;747;136;734;609;323;286;769;8;761;125;773;642;364;278;797;12;785;131
9778;    Unterallgäu (Lkr);712;559;266;293;719;7;712;153;677;519;258;261;686;9;677;158;601;474;224;250;628;12;616;127;685;522;223;299;684;6;678;163;666;517;263;254;694;9;685;149;648;521;253;268;685;8;677;127
