Baugenehmigungen seit 2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
93;  Oberpfalz;2864;2273;279;312;6504;1637;2171;2696;2701;2081;321;299;5911;1242;2206;2463;3040;2407;281;352;7153;2016;2380;2757;3306;2595;290;421;7999;2068;2925;3006;3161;2468;385;308;6799;1784;2301;2714;3629;2625;649;355;7581;1664;2758;3159;3047;2176;513;358;7138;1943;2590;2605;1772;1272;221;279;5558;2056;1945;1557
94;  Oberfranken;1627;1318;174;135;4270;1343;1308;1619;1495;1219;123;153;3532;882;1189;1461;1652;1437;95;120;3438;844;971;1623;1691;1397;117;177;4387;1288;1502;1597;2028;1714;165;149;4442;1261;1255;1926;2251;1839;239;173;4897;1142;1657;2098;1700;1323;220;157;3768;896;1276;1596;947;762;71;114;2976;886;1141;949
95;  Mittelfranken;2922;2304;195;423;9100;3112;3216;2772;3155;2509;229;417;9004;2912;3055;3037;2958;2361;196;401;7542;2039;2838;2665;2899;2276;186;437;8970;2658;3712;2600;3132;2416;283;433;9157;2915;3534;2708;3522;2642;446;434;9228;2509;3652;3067;2847;1935;369;543;11207;4291;4466;2450;1527;1090;130;307;6925;2602;2848;1475
96;  Unterfranken;2324;1810;266;248;5945;1861;1615;2469;2357;1844;257;256;5259;1100;1776;2383;2164;1755;184;225;4879;1182;1557;2140;2368;1912;228;228;5245;862;1958;2425;2605;2035;311;259;5571;1146;1869;2556;2743;2034;440;269;6642;1523;2338;2781;2277;1601;345;331;6464;1591;2665;2208;1153;821;156;176;3634;996;1443;1195
97;  Schwaben;4279;3239;483;557;11143;3074;4065;4004;4416;3383;462;571;10760;2558;4371;3831;4078;3118;376;584;10857;3004;4319;3534;4062;3147;391;524;10364;2845;3894;3625;4251;3153;561;537;10811;3009;4139;3663;4603;3190;775;638;12708;4048;4499;4161;3864;2679;610;575;10788;2940;4278;3570;2642;1804;331;507;9404;3189;3738;2477
9161;    Ingolstadt (Krfr.St);406;252;24;130;2059;1195;560;304;389;276;28;85;1329;579;464;286;256;160;23;73;1079;587;284;208;265;150;25;90;1210;420;618;172;258;157;20;81;1123;572;372;179;264;180;15;69;1402;633;609;160;251;169;18;64;774;295;314;165;172;103;6;63;730;248;378;104
9162;    München, Landeshauptstadt;1351;711;54;586;9660;4101;4418;1141;1529;763;69;697;13479;7316;4967;1196;1693;854;77;762;12581;6048;5312;1221;1359;685;55;619;10929;5533;4399;997;1491;837;64;590;11530;6835;3840;855;1134;637;53;444;8655;4643;3298;714;1087;640;44;403;8098;3985;3364;749;1301;688;55;558;9093;4494;3832;767
9163;    Rosenheim (Krfr.St);85;52;15;18;250;49;121;80;64;38;10;16;260;93;121;46;47;32;5;10;125;20;56;49;78;45;16;17;199;36;113;50;65;49;4;12;170;23;75;72;72;50;6;16;193;49;87;57;66;39;6;21;333;112;160;61;60;36;10;14;410;239;113;58
9171;    Altötting (Lkr);263;189;29;45;552;37;258;257;275;191;33;51;685;161;270;254;225;181;18;26;495;101;178;216;360;267;27;66;943;207;405;331;301;248;24;29;577;67;199;311;302;212;37;53;713;127;271;315;174;124;18;32;507;121;224;162;128;94;20;14;289;54;119;116
9172;    Berchtesgadener Land (Lkr);139;94;16;29;443;89;204;150;144;87;22;35;508;111;216;181;127;88;6;33;474;111;245;118;125;83;12;30;515;100;296;119;175;120;12;43;636;203;269;164;129;85;16;28;443;68;217;158;130;70;19;41;558;179;237;142;126;64;12;50;809;329;373;107
9173;    Bad Tölz-Wolfratshausen (Lkr);251;157;40;54;908;311;315;282;257;164;42;51;895;181;444;270;263;177;38;48;714;136;304;274;234;153;38;43;694;144;268;282;244;142;36;66;1476;599;630;247;304;211;49;44;706;123;263;320;215;140;39;36;577;137;209;231;191;135;25;31;693;228;230;235
9174;    Dachau (Lkr);419;345;43;31;820;126;303;391;399;304;36;59;999;231;387;381;374;284;31;59;876;216;329;331;362;282;25;55;891;181;381;329;360;279;39;42;797;191;279;327;373;267;54;52;917;222;380;315;366;258;41;67;960;235;428;297;271;196;35;40;719;149;347;223
9175;    Ebersberg (Lkr);358;266;34;58;871;198;323;350;248;177;29;42;730;129;369;232;298;225;22;51;770;200;254;316;266;209;16;41;676;108;307;261;328;239;30;59;832;190;336;306;154;101;20;33;448;128;176;144;143;107;15;21;359;84;138;137;168;116;12;40;661;217;271;173
9176;    Eichstätt (Lkr);569;472;63;34;884;113;246;525;535;423;58;54;984;180;365;439;532;424;67;41;933;131;316;486;472;393;41;38;792;109;252;431;459;352;63;44;994;283;284;427;555;398;97;60;1104;201;403;500;531;407;79;45;1095;276;345;474;295;236;31;28;837;359;226;252
9177;    Erding (Lkr);407;317;42;48;852;195;269;388;414;297;54;63;999;255;354;390;344;246;45;53;807;203;285;319;397;276;63;58;1002;260;330;412;452;333;64;55;1021;263;325;433;469;334;82;53;1134;343;381;410;341;224;55;62;1187;436;423;328;258;189;33;36;874;343;247;284
9178;    Freising (Lkr);435;302;61;72;1300;392;505;403;369;242;44;83;1069;348;397;324;505;348;51;106;1571;517;579;475;369;234;57;78;1121;340;455;326;405;272;61;72;1067;342;363;362;506;380;57;69;1114;262;408;444;420;310;60;50;776;151;237;388;297;214;24;59;961;309;404;248
9179;    Fürstenfeldbruck (Lkr);442;368;25;49;852;165;291;396;444;361;32;51;923;192;320;411;399;287;38;74;1119;268;516;335;353;244;34;75;1119;317;463;339;367;274;39;54;819;162;351;306;377;280;46;51;770;169;303;298;363;278;40;45;727;151;272;304;268;189;26;53;695;177;301;217
9180;    Garmisch-Partenkirchen (Lkr);78;43;21;14;182;30;73;79;88;43;21;24;275;71;135;69;74;51;13;10;165;28;69;68;79;44;9;26;261;59;131;71;64;45;9;10;149;44;43;62;127;76;25;26;328;58;139;131;105;57;21;27;332;104;133;95;78;40;14;24;247;52;105;90
9181;    Landsberg am Lech (Lkr);337;257;43;37;734;110;277;347;359;280;40;39;795;166;276;353;366;300;34;32;773;200;229;344;310;242;43;25;561;98;162;301;347;220;62;65;983;226;430;327;387;279;63;45;868;156;365;347;377;299;43;35;704;160;203;341;306;224;40;42;853;255;325;273
9182;    Miesbach (Lkr);230;169;28;33;547;135;202;210;208;163;19;26;506;111;184;211;171;111;16;44;633;164;288;181;245;188;28;29;579;98;239;242;180;130;23;27;482;153;146;183;243;161;35;47;656;159;241;256;189;141;14;34;590;193;220;177;147;104;23;20;379;114;132;133
9183;    Mühldorf a.Inn (Lkr);337;253;39;45;872;175;359;338;348;274;33;41;893;211;359;323;331;240;42;49;1040;249;511;280;307;240;28;39;766;178;261;327;340;251;46;43;833;199;330;304;371;265;64;42;792;136;311;345;395;295;52;48;849;119;349;381;213;163;25;25;582;127;253;202
9184;    München (Lkr);614;456;45;113;1841;668;593;580;694;529;38;127;1946;553;718;675;621;490;34;97;2351;750;1044;557;593;464;38;91;1924;641;723;560;640;477;42;121;2265;693;968;604;638;497;58;83;1624;527;521;576;608;447;36;125;2069;762;781;526;391;316;29;46;816;171;234;411
9185;    Neuburg-Schrobenhausen (Lkr);314;250;27;37;667;141;228;298;347;274;44;29;652;115;214;323;339;291;21;27;676;155;212;309;336;264;28;44;797;171;331;295;348;266;41;41;683;128;264;291;463;322;95;46;916;163;348;405;298;220;49;29;607;109;214;284;219;156;31;32;550;113;262;175
9186;    Pfaffenhofen a.d.Ilm (Lkr);371;246;44;81;1042;286;404;352;492;352;65;75;1348;478;413;457;498;381;49;68;995;221;322;452;396;310;34;52;820;142;296;382;427;314;54;59;982;262;314;406;598;427;89;82;1388;348;489;551;439;289;86;64;1204;433;383;388;293;225;36;32;678;130;273;275
9187;    Rosenheim (Lkr);606;449;56;101;1569;287;691;591;615;442;89;84;1417;249;565;603;583;408;83;92;1441;332;539;570;598;423;85;90;1686;415;629;642;663;475;77;111;1895;454;792;649;710;458;116;136;2030;493;830;707;678;431;103;144;2256;563;1034;659;481;322;70;89;1437;336;593;508
9188;    Starnberg (Lkr);336;253;32;51;837;157;328;352;352;287;31;34;656;137;218;301;409;309;40;60;814;122;320;372;326;235;47;44;746;173;241;332;336;236;44;56;762;141;288;333;297;209;44;44;661;95;237;329;286;204;48;34;562;95;152;315;303;239;36;28;670;131;218;321
9189;    Traunstein (Lkr);441;321;59;61;1065;189;442;434;326;238;43;45;801;161;292;348;340;250;45;45;798;134;332;332;352;246;39;67;1317;433;537;347;406;285;59;62;1272;371;530;371;424;283;83;58;1146;247;439;460;356;233;62;61;1023;256;392;375;242;169;44;29;764;200;323;241
9190;    Weilheim-Schongau (Lkr);365;266;45;54;964;260;360;344;380;289;54;37;781;153;259;369;349;254;57;38;742;121;281;340;367;269;59;39;875;234;297;344;361;275;51;35;758;141;253;364;440;320;74;46;915;165;340;410;407;281;62;64;1143;258;542;343;213;134;45;34;702;222;284;196
9261;    Landshut (Krfr.St);170;110;17;43;917;506;286;125;141;88;11;42;604;219;247;138;86;55;6;25;331;57;179;95;102;51;15;36;575;172;318;85;87;54;9;24;291;73;142;76;93;55;13;25;406;112;215;79;118;58;15;45;443;131;230;82;52;26;2;24;419;166;203;50
9262;    Passau (Krfr.St);76;37;10;29;379;139;167;73;86;48;7;31;379;141;174;64;53;27;5;21;221;75;93;53;90;61;6;23;424;174;170;80;93;52;12;29;631;311;242;78;76;34;20;22;337;170;98;69;54;26;14;14;336;208;81;47;51;30;2;19;301;166;108;27
9263;    Straubing (Krfr.St);106;69;6;31;479;227;185;67;85;61;1;23;336;159;148;29;90;69;3;18;281;117;113;51;108;76;4;28;467;186;230;51;140;100;6;34;750;455;213;82;91;54;12;25;641;381;220;40;102;63;7;32;405;173;178;54;71;44;4;23;681;450;187;44
9271;    Deggendorf (Lkr);402;305;41;56;804;133;278;393;383;306;35;42;858;133;346;379;385;311;35;39;744;115;256;373;374;301;32;41;864;216;283;365;394;312;44;38;1122;465;285;372;499;357;80;62;1266;393;388;485;412;294;59;59;1166;401;422;343;178;130;21;27;487;154;182;151
9272;    Freyung-Grafenau (Lkr);152;132;15;5;283;20;92;171;170;146;20;4;299;83;47;169;194;157;25;12;402;132;102;168;231;202;17;12;436;72;136;228;238;188;32;18;473;41;198;234;250;191;44;15;457;68;152;237;193;139;36;18;405;103;130;172;105;86;12;7;277;60;96;121
9273;    Kelheim (Lkr);494;388;62;44;952;157;311;484;441;342;52;47;969;236;375;358;398;318;40;40;850;167;345;338;392;316;30;46;869;163;331;375;389;289;61;39;968;319;281;368;535;378;103;54;1128;224;465;439;381;253;78;50;1187;523;351;313;233;166;41;26;558;168;190;200
9274;    Landshut (Lkr);469;439;24;6;530;15;78;437;564;511;37;16;773;103;132;538;555;489;38;28;853;76;272;505;432;383;30;19;594;48;141;405;515;459;38;18;649;46;146;457;513;392;83;38;906;140;306;460;425;303;71;51;888;210;315;363;228;161;38;29;479;87;162;230
9275;    Passau (Lkr);546;450;44;52;1152;234;371;547;557;458;55;44;1044;190;327;527;549;442;59;48;1045;136;362;547;653;525;69;59;1298;266;429;603;617;480;67;70;1332;191;598;543;748;544;114;90;1742;368;715;659;627;437;103;87;1724;428;749;547;292;217;40;35;791;152;361;278
9276;    Regen (Lkr);140;110;21;9;315;69;117;129;165;131;25;9;304;49;72;183;168;142;15;11;287;22;87;178;188;152;21;15;409;102;144;163;218;178;26;14;449;89;142;218;248;179;38;31;523;64;208;251;194;139;30;25;562;130;249;183;85;70;7;8;223;48;106;69
9277;    Rottal-Inn (Lkr);349;300;24;25;680;165;201;314;393;338;35;20;659;90;186;383;390;322;35;33;783;169;234;380;417;352;37;28;831;236;211;384;424;336;50;38;868;159;340;369;456;358;53;45;919;181;336;402;332;249;40;43;1020;359;340;321;242;173;33;36;670;138;318;214
9278;    Straubing-Bogen (Lkr);420;362;29;29;675;104;214;357;491;419;47;25;758;122;187;449;531;459;41;31;903;130;302;471;469;396;36;37;748;68;263;417;510;394;82;34;859;137;280;442;474;330;86;58;962;183;347;432;455;314;89;52;992;228;416;348;220;162;28;30;521;138;189;194
9279;    Dingolfing-Landau (Lkr);361;297;37;27;699;150;240;309;370;315;35;20;611;119;158;334;359;316;21;22;599;94;177;328;375;305;45;25;637;112;204;321;315;254;42;19;500;70;159;271;390;275;74;41;1107;370;375;362;319;239;40;40;842;237;326;279;184;129;36;19;402;91;150;161
9361;    Amberg (Krfr.St);51;38;2;11;164;27;87;50;26;14;3;9;205;99;86;20;74;65;3;6;126;14;55;57;62;45;6;11;335;188;93;54;39;34;3;2;115;45;28;42;58;49;4;5;94;19;21;54;45;29;6;10;184;50;91;43;32;21;5;6;108;35;36;37
9362;    Regensburg (Krfr.St);286;173;12;101;1724;771;721;232;156;76;12;68;893;351;454;88;377;247;13;117;2163;1176;673;314;290;149;7;134;1899;887;792;220;176;92;13;71;1235;695;429;111;142;98;16;28;549;206;196;147;130;71;11;48;842;469;290;83;182;115;9;58;1588;995;443;150
9363;    Weiden i.d.OPf. (Krfr.St);37;27;1;9;142;35;77;30;48;41;2;5;101;13;34;54;38;25;4;9;132;45;50;37;34;21;2;11;210;43;113;54;28;21;1;6;89;23;40;26;42;24;1;17;207;64;105;38;28;11;6;11;184;74;85;25;10;5;1;4;44;12;21;11
9371;    Amberg-Sulzbach (Lkr);225;190;25;10;329;35;90;204;251;211;30;10;393;42;136;215;211;183;16;12;319;41;99;179;276;242;23;11;418;64;83;271;343;285;42;16;519;89;133;297;347;277;55;15;586;89;192;305;272;190;58;24;560;134;190;236;115;91;17;7;239;38;95;106
9372;    Cham (Lkr);388;322;36;30;828;215;214;399;362;276;51;35;790;172;256;362;344;278;35;31;691;84;265;342;429;336;55;38;745;106;226;413;462;349;67;46;925;219;278;428;553;363;138;52;1192;305;343;544;384;251;86;47;833;153;315;365;217;156;37;24;538;141;187;210
9373;    Neumarkt i.d.OPf. (Lkr);459;363;49;47;1039;286;343;410;429;324;47;58;1047;240;427;380;414;347;38;29;751;157;228;366;511;423;44;44;962;168;347;447;466;379;60;27;812;118;298;396;627;444;123;60;1324;301;544;479;467;323;75;69;1148;340;479;329;233;162;31;40;735;232;294;209
9374;    Neustadt a.d.Waldnaab (Lkr);195;179;13;3;277;9;49;219;194;160;27;7;318;30;88;200;273;223;28;22;572;103;141;328;228;202;16;10;407;66;117;224;267;235;23;9;389;61;84;244;317;243;52;22;580;85;186;309;272;218;33;21;450;59;136;255;136;109;16;11;292;70;82;140
9375;    Regensburg (Lkr);692;557;85;50;1122;197;284;641;693;553;88;52;1193;131;436;626;666;544;74;48;1139;170;369;600;773;625;79;69;1518;273;507;738;760;603;88;69;1580;327;567;686;904;665;142;97;1922;410;710;802;898;694;141;63;1695;368;549;778;488;368;53;67;1142;273;462;407
9376;    Schwandorf (Lkr);440;343;49;48;729;53;274;402;437;336;47;54;762;99;251;412;515;384;57;74;1068;203;455;410;557;422;52;83;1235;221;563;451;473;345;70;58;862;156;362;344;464;320;89;55;878;158;402;318;383;250;75;58;961;261;368;332;268;179;42;47;616;166;240;210
9377;    Tirschenreuth (Lkr);91;81;7;3;150;9;32;109;105;90;14;1;209;65;38;106;128;111;13;4;192;23;45;124;146;130;6;10;270;52;84;134;147;125;18;4;273;51;82;140;175;142;29;4;249;27;59;163;168;139;22;7;281;35;87;159;91;66;10;15;256;94;85;77
9461;    Bamberg (Krfr.St);74;52;5;17;321;76;180;65;36;14;4;18;308;126;154;28;29;16;2;11;237;105;91;41;81;51;2;28;414;113;243;58;91;71;6;14;627;416;139;72;74;46;4;24;476;147;276;53;60;32;5;23;222;47;136;39;42;21;–;21;388;182;162;44
9462;    Bayreuth (Krfr.St);60;27;9;24;514;280;174;60;73;51;4;18;308;94;133;81;53;27;4;22;273;134;99;40;72;42;5;25;352;117;163;72;62;30;6;26;297;106;122;69;41;22;5;14;264;141;102;21;40;22;4;14;191;75;82;34;32;14;1;17;372;140;170;62
9463;    Coburg (Krfr.St);33;21;3;9;181;87;62;32;38;21;1;16;178;37;124;17;64;47;4;13;380;204;107;69;46;24;6;16;347;123;190;34;37;33;–;4;117;30;50;37;31;22;4;5;116;32;53;31;25;17;1;7;146;56;67;23;17;12;–;5;57;20;24;13
9464;    Hof (Krfr.St);21;16;1;4;391;352;23;16;20;12;1;7;87;40;30;17;12;12;–;–;26;5;5;16;14;12;1;1;36;9;17;10;20;16;4;–;42;11;4;27;45;38;5;2;121;44;31;46;27;17;4;6;86;33;30;23;14;13;–;1;60;28;13;19
9471;    Bamberg (Lkr);376;305;47;24;625;41;181;403;274;222;32;20;474;42;137;295;316;275;23;18;491;37;115;339;365;301;36;28;657;77;180;400;378;298;51;29;694;77;199;418;499;411;54;34;848;113;202;533;333;262;50;21;627;100;189;338;179;147;18;14;391;118;95;178
9472;    Bayreuth (Lkr);212;189;21;2;293;32;47;214;180;150;20;10;347;95;93;159;223;208;7;8;360;36;110;214;233;205;16;12;363;53;111;199;280;256;18;6;439;114;70;255;287;250;28;9;436;64;108;264;223;173;35;15;452;78;152;222;150;128;14;8;319;56;112;151
9473;    Coburg (Lkr);153;138;9;6;300;43;122;135;149;130;10;9;299;73;93;133;179;172;4;3;277;54;72;151;150;140;5;5;235;27;82;126;194;180;6;8;307;54;76;177;222;192;16;14;511;110;209;192;110;89;10;11;219;54;54;111;72;60;5;7;260;87;105;68
9474;    Forchheim (Lkr);289;218;42;29;792;258;253;281;264;210;28;26;551;70;207;274;302;262;25;15;502;59;148;295;224;186;20;18;475;100;150;225;288;224;32;32;584;110;210;264;312;239;49;24;594;103;186;305;277;217;46;14;507;79;164;264;140;117;12;11;305;37;115;153
9475;    Hof (Lkr);64;57;6;1;120;34;16;70;88;83;5;–;116;20;-2;98;98;91;3;4;141;15;24;102;93;81;5;7;194;46;48;100;141;128;12;1;204;37;29;138;180;152;17;11;294;40;92;162;177;161;13;3;264;36;58;170;70;58;6;6;173;41;60;72
9476;    Kronach (Lkr);83;74;6;3;197;35;80;82;58;53;2;3;226;121;56;49;83;71;7;5;173;42;45;86;65;59;–;6;390;249;85;56;96;87;3;6;246;85;82;79;113;103;6;4;306;121;96;89;86;71;8;7;202;71;62;69;42;39;–;3;102;31;46;25
9477;    Kulmbach (Lkr);82;63;10;9;216;72;71;73;128;115;5;8;204;31;74;99;96;83;6;7;202;78;39;85;130;113;9;8;405;198;96;111;160;146;8;6;301;93;67;141;146;118;22;6;215;17;68;130;111;82;13;16;298;91;110;97;73;53;6;14;272;82;130;60
9478;    Lichtenfels (Lkr);103;85;12;6;198;28;67;103;116;94;8;14;314;110;64;140;112;95;9;8;229;60;64;105;141;116;11;14;278;54;92;132;173;147;15;11;398;85;158;155;178;144;23;11;368;89;113;166;129;94;23;12;309;87;101;121;76;66;5;5;179;33;70;76
9479;    Wunsiedel i.Fichtelgebirge (Lkr);77;73;3;1;122;5;32;85;71;64;3;4;120;23;26;71;85;78;1;6;147;15;52;80;77;67;1;9;241;122;45;74;108;98;4;6;186;43;49;94;123;102;6;15;348;121;121;106;102;86;8;8;245;89;71;85;40;34;4;2;98;31;39;28
9561;    Ansbach (Krfr.St);35;30;4;1;92;25;13;54;42;24;1;17;505;344;127;34;23;17;2;4;74;22;32;20;54;36;6;12;197;54;102;41;26;19;4;3;70;12;34;24;49;34;8;7;180;59;78;43;71;44;5;22;413;201;149;63;29;19;1;9;183;65;98;20
9562;    Erlangen (Krfr.St);147;91;10;46;1330;920;295;115;68;49;2;17;353;163;120;70;115;54;7;54;788;377;335;76;61;38;6;17;565;213;297;55;158;114;2;42;601;173;325;103;118;92;5;21;509;282;110;117;111;73;6;32;529;214;221;94;105;67;7;31;580;224;269;87
9563;    Fürth (Krfr.St);135;82;2;51;956;449;386;121;172;106;11;55;838;319;397;122;105;68;10;27;409;100;220;89;145;91;5;49;789;262;445;82;169;99;7;63;935;313;498;124;148;120;4;24;395;77;263;55;124;73;1;50;994;431;483;80;87;62;3;22;507;258;171;78
